RelativeTime,H2 Node,H2 Set-Point,H2 Actual Flow,N2 Node,N2 Set-Point,N2 Actual Flow,T Reactor (sliding TC),T Heater 1,SP Heater 1,,,Pressure setpoint,N2 poisoning set-point,N2 poisoning Actual flow,H2 Uncontrolled flow,N2 Uncontrolled flow,Inlet calc. flowrate,Outlet meas.flowrate,Pressure reading,T14,T13,T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,,Date,Stage,File,RT (sec),Area,H2,RT (sec)       _1,Area           _2,N2,RT (sec)       _3,Area           _4,NH3,Sample name
251.22,6.00,945.00,945.1,4.00,315.00,315.03,990.00,399.92,400.00,399.92,400.0,100.02,0.0,0.00,0.00,0.00,28.66,33.29,76.39,407.45,409.45,410.50,412.47,414.82,418.01,422.37,429.00,435.91,436.15,434.14,432.29,428.01,424.55,,2025-03-04 11:50:34,98,Exp003_R150_#2674_12837,19.25,15756,71.0,22.25,249846,24.154,37.8,334253,14.493,Stream 2 - R150
553.56,6.00,945.00,944.94,4.00,315.00,314.75,990.00,400.0,400.00,400.0,400.0,100.01,0.0,0.00,0.00,0.00,28.64,33.13,76.38,405.68,407.64,408.80,410.61,413.10,416.26,420.58,427.16,433.96,434.37,432.45,430.61,426.36,422.99,,2025-03-04 11:55:36,98,Exp003_R150_#2674_12839,19.26,15895,71.0,22.25,248628,24.036,37.81,332348,14.41,Stream 2 - R150
857.55,6.00,945.00,945.09,4.00,315.00,314.85,990.00,399.99,400.00,399.99,400.0,100.02,0.0,0.00,0.00,0.00,28.65,32.68,76.38,404.95,406.97,408.08,409.96,412.36,415.52,419.82,426.41,433.28,433.69,431.71,429.88,425.70,422.33,,2025-03-04 12:00:40,98,Exp003_R150_#2674_12840,19.26,15882,71.0,22.25,250536,24.221,37.82,323942,14.046,Stream 2 - R150
1161.57,6.00,945.00,945.07,4.00,315.00,314.88,990.00,400.0,400.00,400.0,400.0,100.0,0.0,0.00,0.00,0.00,28.65,32.79,76.38,404.80,406.82,407.86,409.85,412.13,415.25,419.62,426.28,433.11,433.41,431.49,429.70,425.60,422.23,,2025-03-04 12:05:44,98,Exp003_R150_#2674_12842,19.25,15416,70.0,22.24,249350,24.106,37.81,331903,14.391,Stream 2 - R150
1467.22,6.00,945.00,944.97,4.00,315.00,314.73,990.00,400.0,400.00,400.0,400.0,100.02,0.0,0.00,0.00,0.00,28.64,33.29,76.38,404.70,406.67,407.70,409.68,412.03,415.13,419.54,426.20,432.98,433.29,431.41,429.66,425.43,422.02,,2025-03-04 12:10:50,98,Exp003_R150_#2674_12844,19.25,15355,70.0,22.23,248508,24.025,37.82,333257,14.45,Stream 2 - R150
1769.56,6.00,945.00,944.92,4.00,315.00,314.88,990.00,400.0,400.00,400.0,400.0,100.0,0.0,0.00,0.00,0.00,28.65,32.50,76.38,404.93,406.74,407.60,409.66,412.00,415.00,419.63,426.25,433.02,433.47,431.54,429.81,425.37,422.23,,2025-03-04 12:15:52,98,Exp003_R150_#2674_12845,19.26,15885,71.0,22.23,248305,24.005,37.83,332630,14.423,Stream 2 - R150
2073.53,6.00,945.00,945.14,4.00,315.00,314.71,990.00,399.99,400.00,399.99,400.0,100.02,0.0,0.00,0.00,0.00,28.64,33.19,76.38,404.79,406.70,407.63,409.56,411.90,414.97,419.62,426.25,432.94,433.39,431.46,429.72,425.35,422.16,,2025-03-04 12:20:56,98,Exp003_R150_#2674_12847,19.26,15303,70.0,22.23,249518,24.122,37.87,323172,14.012,Stream 2 - R150
2377.52,6.00,945.00,944.99,4.00,315.00,314.81,990.00,400.02,400.00,400.02,400.0,100.01,0.0,0.00,0.00,0.00,28.65,32.91,76.40,404.79,406.62,407.67,409.53,411.82,414.87,419.64,426.23,432.96,433.49,431.54,429.74,425.32,422.10,,2025-03-04 12:26:00,98,Exp003_R150_#2674_12849,19.25,15349,70.0,22.22,249123,24.084,37.86,332603,14.421,Stream 2 - R150
2683.27,6.00,945.00,945.01,4.00,315.00,314.82,990.00,399.99,400.00,399.99,400.0,100.0,0.0,0.00,0.00,0.00,28.65,32.36,76.40,404.82,406.71,407.66,409.53,411.89,414.91,419.58,426.15,433.00,433.41,431.47,429.66,425.28,422.02,,2025-03-04 12:31:06,98,Exp003_R150_#2674_12850,19.25,15875,71.0,22.22,248071,23.983,37.82,333401,14.456,Stream 2 - R150
2985.54,6.00,945.00,944.97,4.00,315.00,314.96,990.00,400.0,400.00,400.0,400.0,100.0,0.0,0.00,0.00,0.00,28.66,32.73,76.40,404.86,406.71,407.76,409.59,411.96,414.99,419.66,426.25,432.97,433.54,431.51,429.73,425.37,422.11,,2025-03-04 12:36:08,98,Exp003_R150_#2674_12852,19.25,15201,70.0,22.21,248471,24.021,37.85,332101,14.4,Stream 2 - R150
3289.54,6.00,945.00,945.09,4.00,315.00,315.1,990.00,399.99,400.00,399.99,400.0,100.01,0.0,0.00,0.00,0.00,28.67,33.12,76.40,404.89,406.77,407.68,409.64,411.97,414.97,419.65,426.23,433.06,433.48,431.56,429.77,425.33,422.15,,2025-03-04 12:41:12,98,Exp003_R150_#2674_12854,19.25,15311,70.0,22.21,249814,24.151,37.87,325657,14.12,Stream 2 - R150
3593.52,6.00,945.00,944.94,4.00,315.00,314.98,990.00,400.0,400.00,400.0,400.0,100.01,0.0,0.00,0.00,0.00,28.66,33.09,76.40,404.95,406.77,407.64,409.62,411.96,415.03,419.74,426.37,433.16,433.58,431.62,429.86,425.38,422.18,,2025-03-04 12:46:16,98,Exp003_R150_#2674_12855,19.25,15367,70.0,22.21,247813,23.958,37.81,333478,14.459,Stream 2 - R150
3899.24,6.00,945.00,944.88,4.00,315.00,313.42,990.00,400.0,400.00,400.0,400.0,100.02,0.0,0.00,0.00,0.08,28.54,33.46,76.40,404.98,406.84,407.75,409.49,411.94,414.94,419.68,426.18,432.99,433.40,431.44,429.63,425.24,422.02,,2025-03-04 12:51:22,98,Exp003_R150_#2674_12857,19.25,15820,71.0,22.21,248682,24.042,37.82,332689,14.425,Stream 2 - R150
4201.5,6.00,945.00,945.16,4.00,315.00,314.32,990.00,400.0,400.00,400.0,400.0,100.01,0.0,0.00,0.00,0.00,28.61,32.49,76.41,404.97,406.76,407.82,409.67,411.91,414.92,419.76,426.31,433.08,433.60,431.61,429.80,425.29,422.05,,2025-03-04 12:56:24,98,Exp003_R150_#2674_12859,19.25,15770,71.0,22.21,249829,24.153,37.83,329599,14.291,Stream 2 - R150
4505.54,6.00,945.00,944.93,4.00,315.00,314.6,990.00,400.02,400.00,400.02,400.0,100.01,0.0,0.00,0.00,0.00,28.63,33.12,76.41,404.70,406.53,407.87,409.62,412.00,415.03,419.68,426.23,432.96,433.44,431.58,429.75,425.41,422.09,,2025-03-04 13:01:28,98,Exp003_R150_#2674_12860,19.25,15264,70.0,22.2,249056,24.078,37.82,333559,14.463,Stream 2 - R150
4809.5,6.00,945.00,945.02,4.00,315.00,317.46,990.00,399.98,400.00,399.98,400.0,100.01,0.0,0.00,0.00,3.86,28.85,32.90,76.41,404.63,406.52,407.70,409.51,411.89,414.87,419.47,426.04,432.79,433.22,431.38,429.61,425.18,421.88,,2025-03-04 13:06:32,98,Exp003_R150_#2674_12862,19.25,15836,71.0,22.19,249194,24.091,37.82,329764,14.298,Stream 2 - R150
5115.24,6.00,945.00,944.91,4.00,315.00,315.27,990.00,399.99,400.00,399.99,400.0,100.01,0.0,0.00,0.00,0.00,28.68,32.57,76.41,404.86,406.60,407.75,409.65,412.00,415.05,419.51,426.12,433.14,433.36,431.50,429.78,425.40,422.04,,2025-03-04 13:11:38,98,Exp003_R150_#2674_12864,19.24,15848,71.0,22.19,247989,23.975,37.81,333779,14.472,Stream 2 - R150
5417.52,6.00,945.00,943.87,4.00,315.00,316.73,990.00,400.0,400.00,400.0,400.0,100.01,0.0,0.00,0.00,0.00,28.79,32.51,76.42,405.24,405.63,407.84,408.98,411.80,414.47,419.70,426.33,431.73,433.56,431.74,429.91,425.64,422.30,,2025-03-04 13:16:40,98,Exp003_R150_#2674_12866,19.25,15650,71.0,22.19,249395,24.111,37.81,332541,14.419,Stream 2 - R150
5721.52,6.00,945.00,944.96,4.00,315.00,315.46,990.00,400.02,400.00,400.02,400.0,100.01,0.0,0.00,0.00,0.00,28.70,32.63,76.42,405.14,405.74,407.93,409.16,411.79,414.81,419.66,426.29,432.11,433.47,431.76,429.95,425.62,422.37,,2025-03-04 13:21:44,98,Exp003_R150_#2674_12867,19.25,15718,71.0,22.19,248130,23.988,37.81,333311,14.452,Stream 2 - R150
6025.51,6.00,945.00,944.95,4.00,315.00,315.13,990.00,400.0,400.00,400.0,400.0,100.01,0.0,0.00,0.00,0.00,28.67,32.81,76.42,405.02,405.72,407.91,409.27,411.82,414.93,419.68,426.30,432.47,433.56,431.87,430.09,425.67,422.47,,2025-03-04 13:26:48,98,Exp003_R150_#2674_12869,19.25,15780,71.0,22.19,248690,24.042,37.83,324798,14.083,Stream 2 - R150
6331.22,6.00,945.00,945.09,4.00,315.00,315.1,990.00,400.0,400.00,400.0,400.0,100.02,0.0,0.00,0.00,0.00,28.67,32.84,76.42,405.04,405.83,407.96,409.31,411.91,415.07,419.60,426.25,432.61,433.59,431.95,430.17,425.75,422.50,,2025-03-04 13:31:54,98,Exp003_R150_#2674_12871,19.24,15472,70.0,22.18,248263,24.001,37.83,324588,14.074,Stream 2 - R150
6633.56,6.00,945.00,945.02,4.00,315.00,315.12,990.00,400.0,400.00,400.0,400.0,100.02,0.0,0.00,0.00,0.00,28.67,32.99,76.42,405.02,405.84,408.04,409.44,411.93,415.14,419.76,426.39,432.62,433.56,432.07,430.25,425.80,422.54,,2025-03-04 13:36:56,98,Exp003_R150_#2674_12872,19.25,15397,70.0,22.19,247698,23.947,37.82,333827,14.474,Stream 2 - R150
6937.56,6.00,945.00,944.93,4.00,315.00,315.14,990.00,400.0,400.00,400.0,400.0,100.02,0.0,0.00,0.00,0.00,28.67,32.73,76.42,405.10,405.98,408.06,409.50,411.98,415.21,419.64,426.26,432.58,433.56,432.15,430.30,425.96,422.69,,2025-03-04 13:42:00,98,Exp003_R150_#2674_12874,19.25,15450,70.0,22.19,247494,23.927,37.82,335204,14.534,Stream 2 - R150
7241.55,6.00,945.00,945.06,4.00,315.00,315.14,990.00,400.0,400.00,400.0,400.0,100.01,0.0,0.00,0.00,0.00,28.67,32.79,76.42,405.08,405.96,408.13,409.57,412.09,415.30,419.73,426.44,432.64,433.64,432.16,430.35,425.96,422.67,,2025-03-04 13:47:04,98,Exp003_R150_#2674_12876,19.25,15512,70.0,22.19,247513,23.929,37.82,333895,14.477,Stream 2 - R150
7547.29,6.00,945.00,944.98,4.00,315.00,315.18,990.00,400.0,400.00,400.0,400.0,100.01,0.0,0.00,0.00,0.00,28.68,33.13,76.43,405.20,406.03,408.20,409.63,412.13,415.44,419.78,426.50,432.65,433.68,432.29,430.47,426.02,422.77,,2025-03-04 13:52:10,98,Exp003_R150_#2674_12877,19.25,15597,71.0,22.19,247036,23.883,37.82,330314,14.322,Stream 2 - R150
