RelativeTime,H2 Node,H2 Set-Point,H2 Actual Flow,N2 Node,N2 Set-Point,N2 Actual Flow,T Reactor (sliding TC),T Heater 1,SP Heater 1,,,Pressure setpoint,N2 poisoning set-point,N2 poisoning Actual flow,H2 Uncontrolled flow,N2 Uncontrolled flow,Inlet calc. flowrate,Outlet meas.flowrate,Pressure reading,T14,T13,T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,,Date,Stage,File,RT (sec),Area,H2,RT (sec)       _1,Area           _2,N2,RT (sec)       _3,Area           _4,NH3,Sample name
25.51,6.00,945.00,944.71,4.00,315.00,296.82,990.00,435.15,450.00,435.15,450.0,99.84,0.0,72.30,0.00,0.00,32.72,32.34,78.12,447.60,448.87,450.92,451.69,454.29,456.96,461.28,468.14,473.45,474.39,471.20,468.78,464.21,461.07,,2025-04-22 18:48:39,209,Exp003_R150_#2674_29876,18.47,14478,68.0,22.12,216775,20.957,37.66,343817,14.908,Stream 2 - R150
329.52,6.00,945.00,944.83,4.00,315.00,314.98,990.00,433.03,450.00,433.03,450.0,99.93,0.0,7.61,0.00,0.00,29.23,31.86,78.17,441.33,442.52,444.68,445.47,448.09,450.75,455.08,461.92,467.15,468.26,465.17,462.92,458.35,455.18,,2025-04-22 18:53:43,209,Exp003_R150_#2674_29878,18.46,14858,69.0,22.11,217211,20.999,37.66,345485,14.98,Stream 2 - R150
635.25,6.00,945.00,944.7,4.00,315.00,315.0,990.00,447.34,450.00,447.34,450.0,99.93,0.0,0.00,0.00,0.00,28.66,31.53,78.17,450.92,452.37,454.58,455.51,458.36,461.17,465.66,472.76,478.12,479.10,475.86,473.61,469.18,465.91,,2025-04-22 18:58:49,209,Exp003_R150_#2674_29881,18.46,14783,69.0,22.1,217515,21.029,37.65,345154,14.966,Stream 2 - R150
937.5,6.00,945.00,944.63,4.00,315.00,314.92,990.00,449.91,450.00,449.91,450.0,99.93,0.0,0.00,0.00,0.00,28.65,31.89,78.17,454.02,455.38,457.58,458.40,461.34,464.07,468.41,475.34,480.59,481.48,478.14,475.73,471.36,468.24,,2025-04-22 19:03:51,209,Exp003_R150_#2674_29883,18.46,14729,69.0,22.1,217651,21.042,37.69,342697,14.859,Stream 2 - R150
1241.56,6.00,945.00,944.71,4.00,315.00,314.96,990.00,450.01,450.00,450.01,450.0,99.94,0.0,0.00,0.00,0.00,28.66,31.64,78.17,455.16,456.53,458.57,459.44,462.25,465.00,469.27,476.19,481.47,482.20,478.90,476.52,472.04,468.93,,2025-04-22 19:08:55,209,Exp003_R150_#2674_29885,18.46,14623,69.0,22.09,217732,21.05,37.69,340286,14.755,Stream 2 - R150
1545.45,6.00,945.00,945.06,4.00,315.00,314.94,990.00,450.01,450.00,450.01,450.0,99.97,0.0,0.00,0.00,0.00,28.66,30.41,78.19,455.55,456.68,458.95,459.73,462.49,465.25,469.47,476.34,481.70,482.42,479.00,476.55,472.17,469.10,,2025-04-22 19:13:59,209,Exp003_R150_#2674_29888,18.45,15046,69.0,22.08,217485,21.026,37.69,341081,14.789,Stream 2 - R150
1851.06,6.00,945.00,945.23,4.00,315.00,314.95,990.00,450.0,450.00,450.0,450.0,99.97,0.0,0.00,0.00,0.00,28.66,30.00,78.19,455.60,456.78,459.02,459.80,462.48,465.24,469.52,476.41,481.48,482.38,479.08,476.68,472.23,469.14,,2025-04-22 19:19:05,209,Exp003_R150_#2674_29890,18.46,14652,69.0,22.07,217331,21.011,37.69,341443,14.805,Stream 2 - R150
2153.43,6.00,945.00,944.95,4.00,315.00,314.97,990.00,450.0,450.00,450.0,450.0,99.86,0.0,0.00,0.00,0.00,28.66,31.21,78.13,455.76,456.87,459.05,459.86,462.59,465.37,469.62,476.52,481.30,482.10,478.97,476.61,472.18,469.12,,2025-04-22 19:24:07,209,Exp003_R150_#2674_29893,18.46,14727,69.0,22.07,217316,21.009,37.7,340430,14.761,Stream 2 - R150
2457.46,6.00,945.00,944.87,4.00,315.00,314.93,990.00,450.0,450.00,450.0,450.0,99.95,0.0,0.00,0.00,0.00,28.66,31.12,78.18,455.66,456.75,459.06,459.85,462.52,465.27,469.56,476.47,481.38,482.30,479.10,476.67,472.28,469.17,,2025-04-22 19:29:11,209,Exp003_R150_#2674_29895,18.46,14774,69.0,22.06,217158,20.994,37.7,339875,14.737,Stream 2 - R150
2761.43,6.00,945.00,944.84,4.00,315.00,314.92,990.00,450.0,450.00,450.0,450.0,99.95,0.0,0.00,0.00,0.00,28.66,31.20,78.18,455.61,456.72,459.06,459.83,462.62,465.34,469.54,476.45,481.59,482.26,478.98,476.54,472.25,469.13,,2025-04-22 19:34:15,209,Exp003_R150_#2674_29897,18.46,14857,69.0,22.06,217142,20.993,37.72,339475,14.719,Stream 2 - R150
3067.08,6.00,945.00,945.12,4.00,315.00,314.94,990.00,450.0,450.00,450.0,450.0,99.95,0.0,0.00,0.00,0.00,28.66,30.53,78.18,455.61,456.75,459.10,459.82,462.58,465.38,469.54,476.46,481.41,482.15,479.07,476.64,472.31,469.25,,2025-04-22 19:39:21,209,Exp003_R150_#2674_29900,18.46,14921,69.0,22.05,216850,20.964,37.72,341369,14.801,Stream 2 - R150
3369.45,6.00,945.00,944.77,4.00,315.00,314.93,990.00,449.99,450.00,449.99,450.0,99.94,0.0,0.00,0.00,0.00,28.66,31.53,78.18,455.52,456.76,459.10,459.88,462.54,465.33,469.55,476.35,481.40,482.16,479.14,476.73,472.29,469.28,,2025-04-22 19:44:23,209,Exp003_R150_#2674_29902,18.47,14518,68.0,22.05,216684,20.948,37.73,341431,14.804,Stream 2 - R150
3673.45,6.00,945.00,945.08,4.00,315.00,314.88,990.00,450.01,450.00,450.01,450.0,99.97,0.0,0.00,0.00,0.00,28.65,30.71,78.19,455.63,456.76,459.12,459.88,462.62,465.43,469.58,476.46,481.50,482.18,479.06,476.68,472.34,469.30,,2025-04-22 19:49:27,209,Exp003_R150_#2674_29904,18.47,14520,68.0,22.05,216641,20.944,37.74,340891,14.781,Stream 2 - R150
