RelativeTime,H2 Node,H2 Set-Point,H2 Actual Flow,N2 Node,N2 Set-Point,N2 Actual Flow,T Reactor (sliding TC),T Heater 1,SP Heater 1,,,Pressure setpoint,N2 poisoning set-point,N2 poisoning Actual flow,H2 Uncontrolled flow,N2 Uncontrolled flow,Inlet calc. flowrate,Outlet meas.flowrate,Pressure reading,T14,T13,T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,,Date,Stage,File,RT (sec),Area,H2,RT (sec)       _1,Area           _2,N2,RT (sec)       _3,Area           _4,NH3,Sample name
43.16,6.00,945.00,944.96,4.00,315.00,314.96,990.00,400.01,450.00,400.01,450.0,99.87,0.0,0.00,0.00,0.00,28.66,31.49,78.15,404.06,405.40,408.09,408.77,411.30,413.70,417.69,423.86,428.43,430.63,429.04,427.29,423.11,420.03,,2025-04-29 17:30:17,231,Exp003_R150_#2674_34487,18.4,16759,73.129,21.43,179132,17.318,37.84,316310,13.715,Stream 2 - R150
345.53,6.00,945.00,945.08,4.00,315.00,314.98,990.00,402.71,450.00,402.71,450.0,99.84,0.0,0.00,0.00,0.00,28.66,30.83,78.12,406.32,407.62,410.18,411.13,413.56,415.97,419.91,426.22,431.21,433.20,431.51,429.69,425.54,422.35,,2025-04-29 17:35:19,231,Exp003_R150_#2674_34490,18.39,16908,73.462,21.42,178229,17.231,37.87,316227,13.711,Stream 2 - R150
649.45,6.00,945.00,944.91,4.00,315.00,314.99,990.00,407.94,450.00,407.94,450.0,99.85,0.0,0.00,0.00,0.00,28.66,30.97,78.13,410.73,411.99,414.49,415.47,417.98,420.49,424.46,430.96,435.85,438.09,436.34,434.55,430.18,426.96,,2025-04-29 17:40:23,231,Exp003_R150_#2674_34492,18.39,16806,73.234,21.42,177475,17.158,37.87,321479,13.939,Stream 2 - R150
953.45,6.00,945.00,944.98,4.00,315.00,314.99,990.00,413.0,450.00,413.0,450.0,99.84,0.0,0.00,0.00,0.00,28.66,30.86,78.11,415.67,416.90,419.41,420.46,423.00,425.56,429.59,436.26,441.17,443.27,441.39,439.52,435.13,431.93,,2025-04-29 17:45:27,231,Exp003_R150_#2674_34494,18.38,16923,73.496,21.41,176408,17.055,37.86,325326,14.106,Stream 2 - R150
1259.14,6.00,945.00,944.93,4.00,315.00,314.97,990.00,418.08,450.00,418.08,450.0,99.85,0.0,0.00,0.00,0.00,28.66,30.99,78.12,420.82,422.01,424.55,425.58,428.20,430.88,434.95,441.68,446.74,448.73,446.56,444.60,440.24,436.99,,2025-04-29 17:50:33,231,Exp003_R150_#2674_34497,18.37,16925,73.499,21.4,174510,16.871,37.84,332987,14.438,Stream 2 - R150
1561.54,6.00,945.00,945.0,4.00,315.00,314.99,990.00,423.14,450.00,423.14,450.0,99.84,0.0,0.00,0.00,0.00,28.66,30.84,78.12,426.19,427.40,429.77,430.82,433.46,436.19,440.36,447.21,452.19,454.17,451.74,449.66,445.30,442.01,,2025-04-29 17:55:35,231,Exp003_R150_#2674_34499,18.38,16775,73.165,21.41,175436,16.961,37.82,338003,14.655,Stream 2 - R150
1865.52,6.00,945.00,944.99,4.00,315.00,315.01,990.00,428.21,450.00,428.21,450.0,99.83,0.0,0.00,0.00,0.00,28.66,30.92,78.11,431.42,432.53,434.91,436.02,438.77,441.49,445.60,452.49,457.38,459.33,456.83,454.73,450.22,447.01,,2025-04-29 18:00:39,231,Exp003_R150_#2674_34501,18.37,16526,72.607,21.4,174328,16.853,37.8,342727,14.86,Stream 2 - R150
2169.52,6.00,945.00,944.98,4.00,315.00,314.97,990.00,433.28,450.00,433.28,450.0,99.83,0.0,0.00,0.00,0.00,28.66,31.02,78.11,436.72,437.97,440.18,441.23,443.92,446.73,450.92,457.91,462.77,464.63,461.86,459.77,455.25,452.04,,2025-04-29 18:05:43,231,Exp003_R150_#2674_34503,18.36,16692,72.98,21.39,173072,16.732,37.79,344873,14.953,Stream 2 - R150
2475.17,6.00,945.00,945.0,4.00,315.00,314.97,990.00,438.34,450.00,438.34,450.0,99.85,0.0,0.00,0.00,0.00,28.66,30.88,78.11,441.84,443.06,445.36,446.39,449.09,451.87,456.25,463.26,468.18,469.76,466.73,464.52,460.05,456.92,,2025-04-29 18:10:49,231,Exp003_R150_#2674_34505,18.38,16650,72.885,21.4,174525,16.872,37.78,344518,14.938,Stream 2 - R150
2777.5,6.00,945.00,944.89,4.00,315.00,314.95,990.00,443.41,450.00,443.41,450.0,99.84,0.0,0.00,0.00,0.00,28.66,31.33,78.11,446.92,448.08,450.33,451.29,454.08,456.85,461.39,468.34,473.35,474.70,471.63,469.27,464.80,461.65,,2025-04-29 18:15:51,231,Exp003_R150_#2674_34508,18.37,16761,73.134,21.39,173384,16.762,37.77,344400,14.933,Stream 2 - R150
