RelativeTime,H2 Node,H2 Set-Point,H2 Actual Flow,N2 Node,N2 Set-Point,N2 Actual Flow,T Reactor (sliding TC),T Heater 1,SP Heater 1,,,Pressure setpoint,N2 poisoning set-point,N2 poisoning Actual flow,H2 Uncontrolled flow,N2 Uncontrolled flow,Inlet calc. flowrate,Outlet meas.flowrate,Pressure reading,T14,T13,T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,,Date,Stage,File,RT (sec),Area,H2,RT (sec)       _1,Area           _2,N2,RT (sec)       _3,Area           _4,NH3,Sample name
121.61,6.00,945.00,944.56,4.00,315.00,314.84,990.00,350.38,450.00,350.38,450.0,99.93,0.0,0.00,0.00,0.00,28.65,31.88,78.14,354.48,355.69,356.00,357.06,358.64,360.35,363.12,367.34,372.06,373.21,372.14,371.39,368.58,365.99,,2025-04-22 11:02:31,206,Exp003_R150_#2674_29662,18.49,14917,69.0,22.54,228250,22.066,37.94,207132,8.981,Stream 2 - R150
425.59,6.00,945.00,945.1,4.00,315.00,314.93,990.00,354.15,450.00,354.15,450.0,99.91,0.0,0.00,0.00,0.00,28.66,30.52,78.13,357.20,358.48,358.58,359.74,361.38,363.18,366.06,370.45,375.27,376.68,375.65,374.81,371.77,369.04,,2025-04-22 11:07:35,206,Exp003_R150_#2674_29664,18.49,14930,69.0,22.54,227615,22.005,37.93,210551,9.129,Stream 2 - R150
731.53,6.00,945.00,944.88,4.00,315.00,315.0,990.00,359.26,450.00,359.26,450.0,99.91,0.0,0.00,0.00,0.00,28.66,31.21,78.14,361.37,362.67,362.92,364.04,365.88,367.76,370.98,375.53,380.26,381.81,380.64,379.73,376.54,373.82,,2025-04-22 11:12:41,206,Exp003_R150_#2674_29667,18.5,14625,69.0,22.55,225738,21.824,37.93,221444,9.602,Stream 2 - R150
1033.54,6.00,945.00,945.64,4.00,315.00,314.96,990.00,364.32,450.00,364.32,450.0,99.97,0.0,0.00,0.00,0.00,28.66,29.05,78.16,366.39,367.78,367.95,369.22,370.97,372.94,376.40,381.19,386.04,387.77,386.39,385.43,381.96,379.17,,2025-04-22 11:17:43,206,Exp003_R150_#2674_29669,18.49,15199,70.0,22.54,225004,21.753,37.91,230861,10.01,Stream 2 - R150
1337.58,6.00,945.00,944.72,4.00,315.00,314.46,990.00,369.41,450.00,369.41,450.0,99.92,0.0,0.00,0.00,0.00,28.62,29.31,78.13,371.60,372.96,373.28,374.25,376.38,378.18,382.17,387.27,391.20,393.95,392.49,391.36,387.82,384.94,,2025-04-22 11:22:47,206,Exp003_R150_#2674_29671,18.49,14981,69.0,22.54,224453,21.699,37.88,241967,10.491,Stream 2 - R150
1641.64,6.00,945.00,944.53,4.00,315.00,314.94,990.00,374.47,450.00,374.47,450.0,99.92,0.0,0.00,0.00,0.00,28.65,31.95,78.14,376.85,378.22,378.61,379.58,381.84,383.80,387.95,393.20,397.48,400.14,398.40,397.18,393.53,390.60,,2025-04-22 11:27:51,206,Exp003_R150_#2674_29674,18.5,14561,68.0,22.54,223239,21.582,37.85,255970,11.099,Stream 2 - R150
1947.56,6.00,945.00,945.06,4.00,315.00,314.98,990.00,379.54,450.00,379.54,450.0,99.95,0.0,0.00,0.00,0.00,28.66,30.53,78.15,382.21,383.55,383.92,385.00,387.36,389.53,393.63,399.14,403.71,406.06,404.35,403.02,399.15,396.14,,2025-04-22 11:32:57,206,Exp003_R150_#2674_29676,18.5,14535,68.0,22.54,222678,21.528,37.83,265815,11.525,Stream 2 - R150
2249.68,6.00,945.00,944.86,4.00,315.00,314.97,990.00,384.6,450.00,384.6,450.0,99.87,0.0,0.00,0.00,0.00,28.66,31.02,78.10,387.45,388.84,389.32,390.41,392.81,395.03,399.33,405.05,409.67,412.07,410.18,408.68,404.79,401.66,,2025-04-22 11:37:59,206,Exp003_R150_#2674_29679,18.5,14682,69.0,22.54,221529,21.417,37.79,280942,12.181,Stream 2 - R150
2553.68,6.00,945.00,944.89,4.00,315.00,315.0,990.00,389.67,450.00,389.67,450.0,99.94,0.0,0.00,0.00,0.00,28.66,31.24,78.14,392.80,394.16,394.81,395.82,398.30,400.50,404.80,410.65,415.62,417.89,415.89,414.31,410.42,407.18,,2025-04-22 11:43:03,206,Exp003_R150_#2674_29681,18.5,14471,68.0,22.54,221259,21.391,37.77,289829,12.567,Stream 2 - R150
2857.74,6.00,945.00,945.1,4.00,315.00,315.09,990.00,394.73,450.00,394.73,450.0,99.97,0.0,0.00,0.80,0.00,28.67,30.40,78.15,397.94,399.45,400.11,400.93,403.72,405.76,410.44,416.48,421.44,423.60,421.53,419.79,415.90,412.58,,2025-04-22 11:48:07,206,Exp003_R150_#2674_29683,18.5,14390,68.0,22.54,217750,21.051,37.75,298958,12.963,Stream 2 - R150
3163.54,6.00,945.00,944.95,4.00,315.00,315.01,990.00,399.8,450.00,399.8,450.0,99.86,0.0,0.00,0.00,0.00,28.66,30.86,78.10,403.14,404.59,405.27,406.02,409.03,411.07,415.97,422.10,427.28,429.34,427.16,425.30,421.40,417.96,,2025-04-22 11:53:13,206,Exp003_R150_#2674_29686,18.5,14181,68.0,22.53,220240,21.292,37.72,309613,13.425,Stream 2 - R150
3465.66,6.00,945.00,945.02,4.00,315.00,314.98,990.00,404.87,450.00,404.87,450.0,99.91,0.0,0.00,0.00,0.00,28.66,30.59,78.12,408.28,409.68,410.66,411.47,414.44,416.48,421.36,427.59,432.96,434.80,432.88,430.80,426.84,423.28,,2025-04-22 11:58:15,206,Exp003_R150_#2674_29688,18.5,14067,67.0,22.52,219811,21.251,37.7,317651,13.773,Stream 2 - R150
3769.61,6.00,945.00,945.15,4.00,315.00,314.97,990.00,409.93,450.00,409.93,450.0,99.95,0.0,0.00,0.00,0.00,28.66,30.28,78.15,412.99,414.68,415.96,416.79,419.71,421.93,426.83,433.15,438.63,440.40,438.42,436.22,432.30,428.64,,2025-04-22 12:03:19,206,Exp003_R150_#2674_29690,18.49,14396,68.0,22.51,219530,21.223,37.67,324187,14.056,Stream 2 - R150
4073.61,6.00,945.00,944.95,4.00,315.00,314.99,990.00,415.01,450.00,415.01,450.0,99.88,0.0,0.00,0.00,0.00,28.66,30.80,78.10,418.18,419.93,421.38,422.15,425.18,427.50,432.26,438.68,444.25,445.85,443.94,441.62,437.62,434.01,,2025-04-22 12:08:23,206,Exp003_R150_#2674_29693,18.5,14192,68.0,22.53,218710,21.144,37.7,333712,14.469,Stream 2 - R150
4379.48,6.00,945.00,944.98,4.00,315.00,314.98,990.00,420.07,450.00,420.07,450.0,99.84,0.0,0.00,0.00,0.00,28.66,30.98,78.09,423.36,425.09,426.65,427.50,430.51,432.79,437.73,444.27,449.75,451.31,449.33,446.89,442.84,439.18,,2025-04-22 12:13:29,206,Exp003_R150_#2674_29695,18.5,14108,67.0,22.52,218353,21.11,37.68,338391,14.672,Stream 2 - R150
4681.7,6.00,945.00,945.56,4.00,315.00,314.94,990.00,425.13,450.00,425.13,450.0,99.94,0.0,0.00,1.18,0.00,28.66,31.00,78.15,428.70,430.34,432.04,432.83,435.79,438.22,443.05,449.64,455.08,456.49,454.46,451.99,447.84,444.22,,2025-04-22 12:18:31,206,Exp003_R150_#2674_29697,18.5,13997,67.0,22.51,218201,21.095,37.66,343680,14.902,Stream 2 - R150
4985.63,6.00,945.00,945.16,4.00,315.00,314.97,990.00,430.21,450.00,430.21,450.0,99.93,0.0,0.00,0.00,0.00,28.66,30.43,78.14,433.81,435.52,437.21,438.05,441.08,443.55,448.30,455.02,460.53,461.83,459.71,457.17,452.94,449.33,,2025-04-22 12:23:35,206,Exp003_R150_#2674_29700,18.5,14073,67.0,22.52,217587,21.035,37.67,346554,15.026,Stream 2 - R150
5289.68,6.00,945.00,944.92,4.00,315.00,314.99,990.00,435.27,450.00,435.27,450.0,99.88,0.0,0.00,0.00,0.00,28.66,30.63,78.11,438.79,440.67,442.37,443.30,446.22,448.73,453.49,460.23,465.71,467.08,464.74,462.09,457.83,454.28,,2025-04-22 12:28:39,206,Exp003_R150_#2674_29702,18.5,13866,67.0,22.5,217685,21.045,37.64,346281,15.014,Stream 2 - R150
5595.63,6.00,945.00,944.86,4.00,315.00,314.97,990.00,440.33,450.00,440.33,450.0,99.91,0.0,0.00,0.00,0.00,28.66,31.01,78.12,444.08,445.59,447.57,448.50,451.36,454.01,458.63,465.46,470.69,472.03,469.55,466.88,462.56,459.14,,2025-04-22 12:33:45,206,Exp003_R150_#2674_29704,18.5,14146,68.0,22.51,218613,21.135,37.68,348322,15.103,Stream 2 - R150
