RelativeTime,H2 Node,H2 Set-Point,H2 Actual Flow,N2 Node,N2 Set-Point,N2 Actual Flow,T Reactor (sliding TC),T Heater 1,SP Heater 1,,,Pressure setpoint,N2 poisoning set-point,N2 poisoning Actual flow,H2 Uncontrolled flow,N2 Uncontrolled flow,Inlet calc. flowrate,Outlet meas.flowrate,Pressure reading,T14,T13,T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,,Date,Stage,File,RT (sec),Area,H2,RT (sec)       _1,Area           _2,N2,RT (sec)       _3,Area           _4,NH3,Sample name
289.53,6.00,945.00,944.97,4.00,315.00,314.97,990.00,450.0,450.00,450.0,450.0,98.57,0.0,0.00,0.00,0.00,28.66,30.45,76.92,454.72,456.44,457.99,459.52,461.56,465.46,469.08,475.80,480.73,481.88,478.66,476.40,471.01,469.12,,2025-04-01 12:36:01,157,Exp003_R150_#2674_19959,19.25,16739.0,73.0,22.22,226467.0,21.894,37.71,341812.0,14.821,Stream 2 - R150
595.23,6.00,945.00,945.01,4.00,315.00,314.99,990.00,450.0,450.00,450.0,450.0,98.57,0.0,0.00,0.00,0.00,28.66,30.67,76.92,454.81,456.52,457.97,459.57,461.60,465.59,469.13,475.88,480.60,481.90,478.76,476.52,471.11,469.21,,2025-04-01 12:41:06,157,Exp003_R150_#2674_19961,19.25,16803.0,73.0,22.22,225754.0,21.825,37.7,341565.0,14.81,Stream 2 - R150
897.58,6.00,945.00,944.99,4.00,315.00,314.98,990.00,450.0,450.00,450.0,450.0,98.58,0.0,0.00,0.00,0.00,28.66,30.65,76.92,454.84,456.51,457.96,459.61,461.67,465.62,469.15,475.88,480.62,481.98,478.73,476.50,471.10,469.19,,2025-04-01 12:46:09,157,Exp003_R150_#2674_19963,19.25,16388.0,72.0,22.21,225520.0,21.803,37.7,342057.0,14.831,Stream 2 - R150
1201.52,6.00,945.00,945.02,4.00,315.00,314.98,990.00,450.0,450.00,450.0,450.0,98.58,0.0,0.00,0.00,0.00,28.66,30.65,76.92,454.76,456.48,458.03,459.66,461.62,465.55,469.10,475.87,480.68,481.87,478.71,476.47,471.07,469.17,,2025-04-01 12:51:13,157,Exp003_R150_#2674_19964,19.25,16795.0,73.0,22.21,225454.0,21.796,37.7,342218.0,14.838,Stream 2 - R150
1505.57,6.00,945.00,944.96,4.00,315.00,314.98,990.00,449.99,450.00,449.99,450.0,98.58,0.0,0.00,0.00,0.00,28.66,30.64,76.92,454.72,456.50,457.98,459.58,461.55,465.42,469.01,475.76,480.73,481.83,478.68,476.43,471.04,469.12,,2025-04-01 12:56:17,157,Exp003_R150_#2674_19966,19.25,16369.0,72.0,22.2,225431.0,21.794,37.7,341912.0,14.825,Stream 2 - R150
1811.21,6.00,945.00,945.04,4.00,315.00,315.0,990.00,450.0,450.00,450.0,450.0,98.57,0.0,0.00,0.00,0.00,28.66,30.68,76.92,454.79,456.59,458.03,459.64,461.58,465.56,469.00,475.75,480.80,481.83,478.63,476.39,470.94,469.08,,2025-04-01 13:01:22,157,Exp003_R150_#2674_19968,19.25,16230.0,72.0,22.19,225473.0,21.798,37.7,342195.0,14.837,Stream 2 - R150
2113.45,6.00,945.00,945.04,4.00,315.00,315.0,990.00,450.0,450.00,450.0,450.0,98.57,0.0,0.00,0.00,0.00,28.66,30.67,76.91,454.71,456.49,457.94,459.51,461.56,465.44,469.06,475.83,480.53,481.84,478.68,476.45,471.03,469.14,,2025-04-01 13:06:24,157,Exp003_R150_#2674_19969,19.25,16310.0,72.0,22.19,225450.0,21.796,37.7,342031.0,14.83,Stream 2 - R150
2417.45,6.00,945.00,944.99,4.00,315.00,314.99,990.00,450.01,450.00,450.01,450.0,98.57,0.0,0.00,0.00,0.00,28.66,30.64,76.91,454.79,456.54,457.92,459.59,461.58,465.61,469.12,475.89,480.65,481.93,478.78,476.55,471.10,469.20,,2025-04-01 13:11:28,157,Exp003_R150_#2674_19971,19.25,16342.0,72.0,22.18,225501.0,21.801,37.7,341934.0,14.826,Stream 2 - R150
2721.54,6.00,945.00,945.02,4.00,315.00,314.98,990.00,449.99,450.00,449.99,450.0,98.58,0.0,0.00,0.00,0.00,28.66,30.63,76.92,454.78,456.51,457.90,459.57,461.65,465.58,469.16,475.95,480.54,481.98,478.80,476.61,471.17,469.21,,2025-04-01 13:16:33,157,Exp003_R150_#2674_19973,19.25,16282.0,72.0,22.18,225496.0,21.8,37.7,342023.0,14.83,Stream 2 - R150
3027.18,6.00,945.00,944.93,4.00,315.00,315.0,990.00,450.0,450.00,450.0,450.0,98.59,0.0,0.00,0.00,0.00,28.66,30.67,76.92,454.85,456.62,458.04,459.61,461.61,465.56,469.19,475.99,480.64,481.94,478.83,476.58,471.08,469.14,,2025-04-01 13:21:38,157,Exp003_R150_#2674_19974,19.25,16219.0,72.0,22.17,225519.0,21.802,37.69,342118.0,14.834,Stream 2 - R150
3329.68,6.00,945.00,945.01,4.00,315.00,314.99,990.00,450.0,450.00,450.0,450.0,98.58,0.0,0.00,0.00,0.00,28.66,30.69,76.91,454.75,456.51,457.93,459.51,461.61,465.53,469.08,475.85,480.73,481.89,478.71,476.46,471.06,469.11,,2025-04-01 13:26:41,157,Exp003_R150_#2674_19976,19.25,16298.0,72.0,22.17,225428.0,21.794,37.7,342177.0,14.836,Stream 2 - R150
3633.43,6.00,945.00,944.99,4.00,315.00,314.99,990.00,450.0,450.00,450.0,450.0,98.58,0.0,0.00,0.00,0.00,28.66,30.63,76.91,454.69,456.47,457.95,459.57,461.58,465.48,469.07,475.82,480.74,481.83,478.78,476.50,471.08,469.18,,2025-04-01 13:31:44,157,Exp003_R150_#2674_19978,19.25,16249.0,72.0,22.16,225545.0,21.805,37.7,342225.0,14.839,Stream 2 - R150
3937.41,6.00,945.00,945.01,4.00,315.00,314.98,990.00,450.0,450.00,450.0,450.0,98.58,0.0,0.00,0.00,0.00,28.66,30.69,76.91,454.77,456.60,457.91,459.50,461.66,465.50,469.17,475.93,480.76,481.96,478.75,476.49,471.18,469.23,,2025-04-01 13:36:48,157,Exp003_R150_#2674_19979,19.25,16377.0,72.0,22.16,225505.0,21.801,37.71,342066.0,14.832,Stream 2 - R150
4243.06,6.00,945.00,945.0,4.00,315.00,314.98,990.00,449.99,450.00,449.99,450.0,98.58,0.0,0.00,0.00,0.00,28.66,30.64,76.91,454.82,456.64,457.84,459.48,461.59,465.46,469.09,475.89,480.70,481.95,478.81,476.55,471.09,469.13,,2025-04-01 13:41:54,157,Exp003_R150_#2674_19981,19.25,16359.0,72.0,22.16,225486.0,21.799,37.7,342242.0,14.839,Stream 2 - R150
4545.4,6.00,945.00,945.1,4.00,315.00,314.98,990.00,450.0,450.00,450.0,450.0,98.59,0.0,0.00,0.00,0.00,28.66,30.67,76.92,454.80,456.66,457.97,459.47,461.64,465.57,469.16,476.00,480.73,481.94,478.76,476.50,471.14,469.24,,2025-04-01 13:46:56,157,Exp003_R150_#2674_19983,19.25,16375.0,72.0,22.15,225451.0,21.796,37.71,342418.0,14.847,Stream 2 - R150
4849.43,6.00,945.00,944.98,4.00,315.00,314.97,990.00,450.0,450.00,450.0,450.0,98.59,0.0,0.00,0.00,0.00,28.66,30.68,76.92,454.76,456.66,457.88,459.41,461.59,465.53,469.16,475.94,480.74,482.00,478.78,476.53,471.11,469.22,,2025-04-01 13:52:00,157,Exp003_R150_#2674_19985,19.25,16817.0,73.0,22.15,225403.0,21.791,37.71,342440.0,14.848,Stream 2 - R150
5153.43,6.00,945.00,944.99,4.00,315.00,314.99,990.00,450.0,450.00,450.0,450.0,98.59,0.0,0.00,0.00,0.00,28.66,30.71,76.92,454.82,456.60,457.87,459.45,461.53,465.51,469.13,475.92,480.66,481.95,478.77,476.54,471.15,469.20,,2025-04-01 13:57:04,157,Exp003_R150_#2674_19986,19.25,16595.0,73.0,22.15,225365.0,21.788,37.72,342282.0,14.841,Stream 2 - R150
5459.05,6.00,945.00,945.04,4.00,315.00,314.99,990.00,450.0,450.00,450.0,450.0,98.59,0.0,0.00,0.00,0.00,28.66,30.68,76.91,454.86,456.67,457.81,459.41,461.60,465.58,469.18,476.00,480.73,482.00,478.71,476.46,471.13,469.24,,2025-04-01 14:02:10,157,Exp003_R150_#2674_19988,19.24,16674.0,73.0,22.13,225679.0,21.818,37.72,342416.0,14.847,Stream 2 - R150
5761.48,6.00,945.00,945.0,4.00,315.00,314.98,990.00,449.99,450.00,449.99,450.0,98.58,0.0,0.00,0.00,0.00,28.66,30.69,76.90,454.78,456.62,457.83,459.28,461.51,465.50,469.08,475.86,480.71,481.93,478.70,476.41,471.06,469.09,,2025-04-01 14:07:13,157,Exp003_R150_#2674_19990,19.25,16654.0,73.0,22.14,225351.0,21.786,37.73,342445.0,14.848,Stream 2 - R150
6065.47,6.00,945.00,945.02,4.00,315.00,314.98,990.00,450.0,450.00,450.0,450.0,98.57,0.0,0.00,0.00,0.00,28.66,30.66,76.90,454.78,456.62,457.82,459.34,461.55,465.51,469.14,475.95,480.59,481.96,478.83,476.55,471.26,469.26,,2025-04-01 14:12:16,157,Exp003_R150_#2674_19991,19.25,16673.0,73.0,22.14,225327.0,21.784,37.73,342105.0,14.833,Stream 2 - R150
6369.46,6.00,945.00,944.98,4.00,315.00,314.98,990.00,450.0,450.00,450.0,450.0,98.57,0.0,0.00,0.00,0.00,28.66,30.65,76.90,454.74,456.54,457.85,459.44,461.61,465.60,469.15,475.95,480.67,481.96,478.83,476.59,471.18,469.27,,2025-04-01 14:17:20,157,Exp003_R150_#2674_19993,19.25,16188.0,72.0,22.13,225192.0,21.771,37.73,342889.0,14.867,Stream 2 - R150
6675.11,6.00,945.00,945.02,4.00,315.00,315.0,990.00,450.0,450.00,450.0,450.0,98.57,0.0,0.00,0.00,0.00,28.66,30.66,76.90,454.79,456.55,457.94,459.42,461.55,465.60,469.10,475.93,480.63,481.97,478.82,476.61,471.19,469.26,,2025-04-01 14:22:26,157,Exp003_R150_#2674_19995,19.26,16325.0,72.0,22.13,225258.0,21.777,37.74,342583.0,14.854,Stream 2 - R150
6977.48,6.00,945.00,944.99,4.00,315.00,314.99,990.00,450.0,450.00,450.0,450.0,98.58,0.0,0.00,0.00,0.00,28.66,30.66,76.91,454.81,456.53,457.81,459.44,461.53,465.58,469.15,475.95,480.67,481.98,478.74,476.54,471.08,469.12,,2025-04-01 14:27:29,157,Exp003_R150_#2674_19996,19.26,16330.0,72.0,22.13,225191.0,21.771,37.74,342950.0,14.87,Stream 2 - R150
7281.48,6.00,945.00,945.05,4.00,315.00,314.98,990.00,450.0,450.00,450.0,450.0,98.57,0.0,0.00,0.00,0.00,28.66,30.66,76.90,454.76,456.50,457.85,459.52,461.54,465.53,469.14,475.91,480.50,481.99,478.75,476.55,471.15,469.24,,2025-04-01 14:32:33,157,Exp003_R150_#2674_19998,19.26,16339.0,72.0,22.13,225127.0,21.764,37.74,342798.0,14.863,Stream 2 - R150
7585.46,6.00,945.00,944.99,4.00,315.00,314.98,990.00,450.0,450.00,450.0,450.0,98.57,0.0,0.00,0.00,0.00,28.66,30.68,76.90,454.74,456.57,457.90,459.46,461.55,465.57,469.15,475.95,480.66,482.02,478.85,476.64,471.13,469.24,,2025-04-01 14:37:36,157,Exp003_R150_#2674_20000,19.26,16395.0,72.0,22.12,225127.0,21.764,37.75,343029.0,14.873,Stream 2 - R150
7891.08,6.00,945.00,945.05,4.00,315.00,315.0,990.00,449.99,450.00,449.99,450.0,98.56,0.0,0.00,0.00,0.00,28.66,30.67,76.90,454.78,456.63,457.88,459.45,461.56,465.56,469.13,475.96,480.61,481.98,478.80,476.58,471.21,469.27,,2025-04-01 14:42:42,157,Exp003_R150_#2674_20001,19.26,16451.0,72.0,22.13,225199.0,21.771,37.75,342628.0,14.856,Stream 2 - R150
8193.44,6.00,945.00,945.04,4.00,315.00,314.98,990.00,450.0,450.00,450.0,450.0,98.56,0.0,0.00,0.00,0.00,28.66,30.64,76.90,454.79,456.61,457.86,459.51,461.57,465.61,469.13,475.94,480.66,482.01,478.74,476.53,471.13,469.21,,2025-04-01 14:47:44,157,Exp003_R150_#2674_20003,19.26,16635.0,73.0,22.13,225103.0,21.762,37.75,342773.0,14.862,Stream 2 - R150
8497.44,6.00,945.00,945.1,4.00,315.00,315.0,990.00,450.0,450.00,450.0,450.0,98.56,0.0,0.00,0.00,0.00,28.66,30.66,76.90,454.86,456.54,457.92,459.58,461.58,465.61,469.25,476.03,480.53,481.96,478.80,476.62,471.17,469.23,,2025-04-01 14:52:48,157,Exp003_R150_#2674_20005,19.26,16650.0,73.0,22.12,225075.0,21.759,37.76,342834.0,14.865,Stream 2 - R150
8801.44,6.00,945.00,945.05,4.00,315.00,314.97,990.00,449.99,450.00,449.99,450.0,98.56,0.0,0.00,0.00,0.00,28.66,30.66,76.90,454.81,456.53,457.92,459.54,461.55,465.55,469.21,476.00,480.83,482.02,478.79,476.59,471.12,469.19,,2025-04-01 14:57:52,157,Exp003_R150_#2674_20006,19.26,16687.0,73.0,22.12,224953.0,21.748,37.76,343108.0,14.877,Stream 2 - R150
9107.06,6.00,945.00,945.05,4.00,315.00,314.99,990.00,450.0,450.00,450.0,450.0,98.56,0.0,0.00,0.00,0.00,28.66,30.63,76.90,454.89,456.66,457.92,459.57,461.70,465.59,469.27,476.04,480.73,482.07,478.84,476.66,471.13,469.22,,2025-04-01 15:02:58,157,Exp003_R150_#2674_20008,19.26,16725.0,73.0,22.12,225008.0,21.753,37.76,342671.0,14.858,Stream 2 - R150
9409.43,6.00,945.00,944.98,4.00,315.00,315.0,990.00,450.0,450.00,450.0,450.0,98.56,0.0,0.00,0.00,0.00,28.66,30.64,76.89,454.76,456.49,457.96,459.59,461.63,465.59,469.22,475.97,480.66,481.95,478.85,476.62,471.13,469.24,,2025-04-01 15:08:00,157,Exp003_R150_#2674_20010,19.26,16851.0,73.0,22.12,225055.0,21.758,37.76,343035.0,14.874,Stream 2 - R150
9713.43,6.00,945.00,945.01,4.00,315.00,314.99,990.00,450.0,450.00,450.0,450.0,98.55,0.0,0.00,0.00,0.00,28.66,30.67,76.89,454.83,456.57,457.96,459.55,461.67,465.60,469.19,475.98,480.81,482.05,478.87,476.65,471.16,469.25,,2025-04-01 15:13:04,157,Exp003_R150_#2674_20012,19.26,16858.0,73.0,22.11,225055.0,21.758,37.75,342697.0,14.859,Stream 2 - R150
10017.44,6.00,945.00,945.01,4.00,315.00,314.99,990.00,450.0,450.00,450.0,450.0,98.55,0.0,0.00,0.00,0.00,28.66,30.65,76.89,454.81,456.60,457.97,459.59,461.72,465.56,469.30,476.10,480.78,482.15,478.85,476.66,471.11,469.24,,2025-04-01 15:18:08,157,Exp003_R150_#2674_20013,19.26,16860.0,73.0,22.11,225024.0,21.755,37.75,343055.0,14.875,Stream 2 - R150
10323.06,6.00,945.00,945.01,4.00,315.00,315.0,990.00,450.0,450.00,450.0,450.0,98.55,0.0,0.00,0.00,0.00,28.66,30.67,76.89,454.78,456.54,457.91,459.58,461.67,465.58,469.23,476.01,480.70,482.05,478.89,476.68,471.23,469.31,,2025-04-01 15:23:14,157,Exp003_R150_#2674_20015,19.26,16869.0,73.0,22.11,225088.0,21.761,37.75,342562.0,14.853,Stream 2 - R150
10625.43,6.00,945.00,945.06,4.00,315.00,314.99,990.00,450.0,450.00,450.0,450.0,98.54,0.0,0.00,0.00,0.00,28.66,30.66,76.88,454.76,456.58,457.97,459.59,461.64,465.58,469.22,476.00,480.83,482.02,478.82,476.59,471.19,469.27,,2025-04-01 15:28:16,157,Exp003_R150_#2674_20017,19.26,16854.0,73.0,22.1,225049.0,21.757,37.75,343030.0,14.873,Stream 2 - R150
10929.51,6.00,945.00,945.0,4.00,315.00,314.98,990.00,449.99,450.00,449.99,450.0,98.54,0.0,0.00,0.00,0.00,28.66,30.67,76.88,454.82,456.59,457.96,459.51,461.65,465.58,469.17,475.96,480.64,481.94,478.74,476.51,471.09,469.25,,2025-04-01 15:33:21,157,Exp003_R150_#2674_20018,19.26,16408.0,72.0,22.1,225095.0,21.761,37.75,343503.0,14.894,Stream 2 - R150
11233.42,6.00,945.00,945.04,4.00,315.00,314.99,990.00,449.99,450.00,449.99,450.0,98.53,0.0,0.00,0.00,0.00,28.66,30.70,76.87,454.72,456.53,458.05,459.63,461.58,465.49,469.15,475.94,480.84,481.98,478.80,476.52,471.21,469.23,,2025-04-01 15:38:24,157,Exp003_R150_#2674_20020,19.26,16858.0,73.0,22.1,225031.0,21.755,37.75,342886.0,14.867,Stream 2 - R150
11539.1,6.00,945.00,944.97,4.00,315.00,314.99,990.00,450.02,450.00,450.02,450.0,98.54,0.0,0.00,0.00,0.00,28.66,30.64,76.88,454.86,456.59,458.05,459.64,461.63,465.60,469.24,476.05,480.82,482.05,478.78,476.51,471.24,469.30,,2025-04-01 15:43:30,157,Exp003_R150_#2674_20022,19.26,16856.0,73.0,22.1,225091.0,21.761,37.75,343180.0,14.88,Stream 2 - R150
11841.47,6.00,945.00,945.0,4.00,315.00,315.0,990.00,450.0,450.00,450.0,450.0,98.53,0.0,0.00,0.00,0.00,28.66,30.67,76.87,454.75,456.52,458.03,459.58,461.54,465.52,469.15,475.90,480.62,481.95,478.82,476.49,471.13,469.13,,2025-04-01 15:48:32,157,Exp003_R150_#2674_20023,19.26,16640.0,73.0,22.1,224997.0,21.752,37.75,343500.0,14.894,Stream 2 - R150
12145.49,6.00,945.00,945.03,4.00,315.00,314.98,990.00,450.0,450.00,450.0,450.0,98.54,0.0,0.00,0.00,0.00,28.66,30.64,76.87,454.73,456.50,458.01,459.62,461.55,465.65,469.26,476.01,480.76,482.04,478.79,476.52,471.26,469.28,,2025-04-01 15:53:37,157,Exp003_R150_#2674_20025,19.27,16334.0,72.0,22.1,224860.0,21.739,37.76,343068.0,14.875,Stream 2 - R150
12449.49,6.00,945.00,945.06,4.00,315.00,315.0,990.00,450.0,450.00,450.0,450.0,98.54,0.0,0.00,0.00,0.00,28.66,30.66,76.87,454.81,456.49,457.93,459.51,461.67,465.67,469.07,475.88,480.80,482.00,478.75,476.47,471.29,469.18,,2025-04-01 15:58:41,157,Exp003_R150_#2674_20027,19.26,16309.0,72.0,22.1,224893.0,21.742,37.75,343095.0,14.876,Stream 2 - R150
12755.08,6.00,945.00,944.97,4.00,315.00,314.98,990.00,449.99,450.00,449.99,450.0,98.54,0.0,0.00,0.00,0.00,28.66,30.61,76.87,454.93,456.64,457.90,459.56,461.60,465.60,468.98,475.87,480.83,482.03,478.51,476.27,471.14,469.01,,2025-04-01 16:03:46,157,Exp003_R150_#2674_20028,19.26,16686.0,73.0,22.1,224963.0,21.749,37.73,343134.0,14.878,Stream 2 - R150
13057.47,6.00,945.00,945.08,4.00,315.00,314.99,990.00,450.0,450.00,450.0,450.0,98.56,0.0,0.00,0.00,0.00,28.66,30.64,76.88,454.94,456.70,457.82,459.55,461.57,465.53,469.19,475.99,480.90,482.04,478.54,476.36,471.11,468.99,,2025-04-01 16:08:49,157,Exp003_R150_#2674_20030,19.25,16779.0,73.0,22.09,225224.0,21.774,37.71,342957.0,14.87,Stream 2 - R150
13361.47,6.00,945.00,944.98,4.00,315.00,315.0,990.00,450.0,450.00,450.0,450.0,98.58,0.0,0.00,0.00,0.00,28.66,30.67,76.89,454.96,456.71,457.87,459.50,461.56,465.56,469.20,476.04,480.85,482.06,478.50,476.34,471.16,469.04,,2025-04-01 16:13:53,157,Exp003_R150_#2674_20032,19.24,16739.0,73.0,22.07,225152.0,21.767,37.67,346130.0,15.008,Stream 2 - R150
