RelativeTime,H2 Node,H2 Set-Point,H2 Actual Flow,N2 Node,N2 Set-Point,N2 Actual Flow,T Reactor (sliding TC),T Heater 1,SP Heater 1,,,Pressure setpoint,N2 poisoning set-point,N2 poisoning Actual flow,H2 Uncontrolled flow,N2 Uncontrolled flow,Inlet calc. flowrate,Outlet meas.flowrate,Pressure reading,T14,T13,T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,,Date,Stage,File,RT (sec),Area,H2,RT (sec)       _1,Area           _2,N2,RT (sec)       _3,Area           _4,NH3,Sample name
49.56,6.00,945.00,945.1,4.00,315.00,315.02,990.00,350.03,400.00,350.03,400.0,99.82,0.0,0.00,0.00,0.00,28.66,30.78,78.18,352.97,353.54,355.81,356.01,357.91,359.31,361.02,364.79,367.85,370.18,370.08,369.74,366.73,364.77,,2025-04-28 18:37:11,228,Exp003_R150_#2674_33855,18.42,17373,75.0,21.65,210254,20.327,38.16,184798,8.013,Stream 2 - R150
353.48,6.00,945.00,945.1,4.00,315.00,314.98,990.00,352.86,400.00,352.86,400.0,99.84,0.0,0.00,0.00,0.00,28.66,30.59,78.20,354.81,355.54,357.87,358.19,359.76,361.23,363.19,367.13,370.20,372.62,372.57,372.22,369.19,367.18,,2025-04-28 18:42:15,228,Exp003_R150_#2674_33858,18.41,16919,73.0,21.64,210086,20.31,38.1,189706,8.225,Stream 2 - R150
657.48,6.00,945.00,945.05,4.00,315.00,314.97,990.00,358.06,400.00,358.06,400.0,99.83,0.0,0.00,0.00,0.00,28.66,30.80,78.19,358.80,359.66,362.07,362.34,364.06,365.62,367.78,371.99,375.26,377.65,377.54,377.07,373.94,371.76,,2025-04-28 18:47:19,228,Exp003_R150_#2674_33860,18.41,16832,73.0,21.64,209902,20.293,38.09,196980,8.541,Stream 2 - R150
963.11,6.00,945.00,945.02,4.00,315.00,314.98,990.00,363.14,400.00,363.14,400.0,99.86,0.0,0.00,0.00,0.00,28.66,30.56,78.21,363.69,364.53,366.94,367.29,369.17,370.92,373.11,377.48,380.95,383.45,383.21,382.57,379.32,377.12,,2025-04-28 18:52:25,228,Exp003_R150_#2674_33862,18.41,16778,73.0,21.64,209616,20.265,38.07,206158,8.939,Stream 2 - R150
1265.46,6.00,945.00,944.95,4.00,315.00,314.99,990.00,368.21,400.00,368.21,400.0,99.84,0.0,0.00,0.00,0.00,28.66,30.96,78.20,368.96,369.74,372.15,372.53,374.47,376.21,378.75,383.39,387.07,389.47,389.18,388.45,384.98,382.59,,2025-04-28 18:57:27,228,Exp003_R150_#2674_33865,18.42,16698,73.0,21.64,208750,20.181,38.04,220566,9.564,Stream 2 - R150
1569.52,6.00,945.00,945.05,4.00,315.00,315.0,990.00,373.27,400.00,373.27,400.0,99.84,0.0,0.00,0.00,0.00,28.66,30.68,78.20,374.18,375.05,377.45,377.90,379.98,381.83,384.43,389.29,393.00,395.44,395.15,394.29,390.69,388.16,,2025-04-28 19:02:31,228,Exp003_R150_#2674_33867,18.42,16578,73.0,21.64,207985,20.107,38.01,232252,10.07,Stream 2 - R150
1873.52,6.00,945.00,944.92,4.00,315.00,315.0,990.00,378.34,400.00,378.34,400.0,99.83,0.0,0.00,0.00,0.00,28.66,31.01,78.20,379.43,380.24,382.82,383.23,385.41,387.32,390.17,395.23,399.24,401.64,400.99,400.05,396.37,393.74,,2025-04-28 19:07:35,228,Exp003_R150_#2674_33870,18.42,16547,73.0,21.64,207217,20.033,37.98,247101,10.714,Stream 2 - R150
2179.16,6.00,945.00,945.04,4.00,315.00,314.99,990.00,383.41,400.00,383.41,400.0,99.85,0.0,0.00,0.00,0.00,28.66,30.67,78.20,384.84,385.75,388.27,388.80,390.93,392.99,395.85,401.15,405.37,407.72,407.03,405.94,402.17,399.41,,2025-04-28 19:12:41,228,Exp003_R150_#2674_33872,18.42,16468,72.0,21.64,206446,19.958,37.96,257364,11.159,Stream 2 - R150
2481.53,6.00,945.00,945.0,4.00,315.00,314.99,990.00,388.48,400.00,388.48,400.0,99.83,0.0,0.00,0.00,0.00,28.66,30.85,78.20,390.19,391.04,393.67,394.19,396.40,398.52,401.57,407.06,411.41,413.76,412.84,411.59,407.80,405.00,,2025-04-28 19:17:43,228,Exp003_R150_#2674_33874,18.42,16344,72.0,21.64,205735,19.89,37.94,267253,11.588,Stream 2 - R150
2785.53,6.00,945.00,944.98,4.00,315.00,315.01,990.00,393.54,400.00,393.54,400.0,99.83,0.0,0.00,0.00,0.00,28.66,30.94,78.19,395.40,396.30,398.97,399.52,401.84,403.99,407.27,412.98,417.33,419.64,418.60,417.23,413.33,410.41,,2025-04-28 19:22:47,228,Exp003_R150_#2674_33877,18.42,16284,72.0,21.64,204822,19.801,37.91,280689,12.17,Stream 2 - R150
