RelativeTime,H2 Node,H2 Set-Point,H2 Actual Flow,N2 Node,N2 Set-Point,N2 Actual Flow,T Reactor (sliding TC),T Heater 1,SP Heater 1,,,Pressure setpoint,N2 poisoning set-point,N2 poisoning Actual flow,H2 Uncontrolled flow,N2 Uncontrolled flow,Inlet calc. flowrate,Outlet meas.flowrate,Pressure reading,T14,T13,T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,,Date,Stage,File,RT (sec),Area,H2,RT (sec)       _1,Area           _2,N2,RT (sec)       _3,Area           _4,NH3,Sample name
113.44,6.00,945.00,945.01,4.00,243.30,248.09,990.00,250.0,250.00,250.0,250.0,95.46,71.7,66.86,0.00,0.00,28.66,30.96,74.19,250.31,250.81,250.41,250.53,250.83,250.84,251.48,251.71,251.80,252.39,251.96,252.64,251.49,252.13,,2025-04-07 12:14:32,174,Exp003_R150_#2674_22776,0.0,0,0.0,22.7,261250,25.257,38.7,1120,0.049,Stream 2 - R150
417.49,6.00,945.00,945.06,4.00,243.30,243.29,990.00,250.0,250.00,250.0,250.0,95.47,71.7,71.69,0.00,0.00,28.66,28.85,74.19,250.35,250.90,250.41,250.54,250.77,250.88,251.50,251.70,251.88,252.48,251.97,252.67,251.46,252.10,,2025-04-07 12:19:36,174,Exp003_R150_#2674_22778,0.0,0,0.0,22.7,257594,24.903,38.7,1083,0.047,Stream 2 - R150
721.5,6.00,945.00,945.03,4.00,243.30,243.28,990.00,250.0,250.00,250.0,250.0,95.46,71.7,71.69,0.00,0.00,28.66,30.29,74.19,250.32,250.85,250.47,250.61,250.78,250.94,251.54,251.75,251.91,252.50,252.01,252.70,251.50,252.13,,2025-04-07 12:24:40,174,Exp003_R150_#2674_22780,0.0,0,0.0,22.7,259918,25.128,38.71,1111,0.048,Stream 2 - R150
1025.48,6.00,945.00,945.05,4.00,243.30,243.29,990.00,250.0,250.00,250.0,250.0,95.48,71.7,71.69,0.00,0.00,28.66,30.53,74.20,250.38,250.95,250.44,250.55,250.79,250.91,251.46,251.66,251.90,252.49,252.04,252.73,251.54,252.20,,2025-04-07 12:29:44,174,Exp003_R150_#2674_22781,0.0,0,0.0,22.7,260236,25.159,38.71,1107,0.048,Stream 2 - R150
1329.47,6.00,945.00,944.96,4.00,243.30,243.28,990.00,250.0,250.00,250.0,250.0,95.48,71.7,71.69,0.00,0.00,28.66,30.60,74.20,250.32,250.87,250.41,250.61,250.71,250.85,251.41,251.65,251.87,252.46,252.00,252.73,251.48,252.19,,2025-04-07 12:34:48,174,Exp003_R150_#2674_22783,0.0,0,0.0,22.7,260611,25.195,38.72,1082,0.047,Stream 2 - R150
1633.49,6.00,945.00,944.99,4.00,243.30,243.28,990.00,250.0,250.00,250.0,250.0,95.47,71.7,71.69,0.00,0.00,28.66,30.61,74.19,250.29,250.87,250.49,250.68,250.81,250.83,251.41,251.64,251.92,252.49,252.01,252.76,251.49,252.18,,2025-04-07 12:39:52,174,Exp003_R150_#2674_22785,0.0,0,0.0,22.71,260745,25.208,38.74,1046,0.045,Stream 2 - R150
1937.49,6.00,945.00,945.02,4.00,243.30,243.28,990.00,250.0,250.00,250.0,250.0,95.49,71.7,71.69,0.00,0.00,28.66,30.61,74.20,250.34,250.89,250.42,250.59,250.81,250.86,251.48,251.73,251.78,252.40,252.02,252.70,251.49,252.17,,2025-04-07 12:44:56,174,Exp003_R150_#2674_22786,0.0,0,0.0,22.72,260754,25.209,38.75,1028,0.045,Stream 2 - R150
2241.47,6.00,945.00,944.98,4.00,243.30,243.27,990.00,250.0,250.00,250.0,250.0,95.49,71.7,71.69,0.00,0.00,28.66,30.60,74.21,250.36,250.91,250.32,250.55,250.79,250.88,251.51,251.73,251.89,252.46,251.99,252.73,251.42,252.14,,2025-04-07 12:50:00,174,Exp003_R150_#2674_22788,0.0,0,0.0,22.7,260798,25.213,38.76,990,0.043,Stream 2 - R150
2545.47,6.00,945.00,945.02,4.00,243.30,243.28,990.00,250.0,250.00,250.0,250.0,95.49,71.7,71.70,0.00,0.00,28.66,30.68,74.20,250.70,251.32,250.66,251.16,251.07,251.27,251.52,251.72,252.43,252.46,251.92,252.63,251.52,251.91,,2025-04-07 12:55:04,174,Exp003_R150_#2674_22790,0.0,0,0.0,22.71,260892,25.222,38.71,955,0.041,Stream 2 - R150
2849.47,6.00,945.00,945.61,4.00,243.30,243.27,990.00,250.0,250.00,250.0,250.0,95.39,71.7,71.70,4.37,0.00,28.66,30.69,74.13,250.64,251.22,250.50,250.92,251.00,251.01,251.50,251.75,252.13,252.39,251.86,252.55,251.40,251.69,,2025-04-07 13:00:08,174,Exp003_R150_#2674_22791,0.0,0,0.0,22.7,260986,25.231,38.71,931,0.04,Stream 2 - R150
3153.59,6.00,945.00,944.98,4.00,243.30,243.28,990.00,250.0,250.00,250.0,250.0,95.31,71.7,71.70,0.00,0.00,28.66,30.65,74.09,250.56,251.11,250.39,250.79,250.94,250.86,251.50,251.76,251.86,252.33,251.86,252.56,251.43,251.79,,2025-04-07 13:05:12,174,Exp003_R150_#2674_22793,0.0,0,0.0,22.7,261061,25.238,38.72,897,0.039,Stream 2 - R150
3457.57,6.00,945.00,945.05,4.00,243.30,243.3,990.00,250.0,250.00,250.0,250.0,95.26,71.7,71.70,0.00,0.00,28.66,30.62,74.06,250.49,250.92,250.35,250.74,250.89,250.94,251.50,251.73,252.10,252.36,251.77,252.48,251.40,251.77,,2025-04-07 13:10:16,174,Exp003_R150_#2674_22795,0.0,0,0.0,22.7,260951,25.228,38.73,859,0.037,Stream 2 - R150
3761.54,6.00,945.00,944.98,4.00,243.30,243.31,990.00,250.0,250.00,250.0,250.0,95.23,71.7,71.70,0.00,0.00,28.66,30.63,74.05,250.38,250.65,250.21,250.62,250.73,250.78,251.40,251.57,252.03,252.28,251.70,252.32,251.30,251.72,,2025-04-07 13:15:20,174,Exp003_R150_#2674_22796,0.0,0,0.0,22.7,260913,25.224,38.73,839,0.036,Stream 2 - R150
4065.54,6.00,945.00,944.99,4.00,243.30,243.29,990.00,250.0,250.00,250.0,250.0,95.24,71.7,71.70,0.00,0.00,28.66,30.64,74.05,250.27,250.60,250.25,250.65,250.73,250.59,251.29,251.52,251.96,252.13,251.62,252.24,251.22,251.63,,2025-04-07 13:20:24,174,Exp003_R150_#2674_22798,0.0,0,0.0,22.7,260970,25.23,38.72,803,0.035,Stream 2 - R150
