RelativeTime,H2 Node,H2 Set-Point,H2 Actual Flow,N2 Node,N2 Set-Point,N2 Actual Flow,T Reactor (sliding TC),T Heater 1,SP Heater 1,,,Pressure setpoint,N2 poisoning set-point,N2 poisoning Actual flow,H2 Uncontrolled flow,N2 Uncontrolled flow,Inlet calc. flowrate,Outlet meas.flowrate,Pressure reading,T14,T13,T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,,Date,Stage,File,RT (sec),Area,H2,RT (sec)       _1,Area           _2,N2,RT (sec)       _3,Area           _4,NH3,Sample name
209.56,6.00,945.00,944.99,4.00,315.00,315.0,990.00,250.0,250.00,250.0,250.0,99.99,0.0,0.00,0.00,0.00,28.66,31.75,78.00,253.14,253.94,253.19,253.80,254.03,254.81,254.34,254.81,255.30,255.61,255.14,255.88,254.87,255.24,,2025-02-08 06:38:31,8,Exp003_R150_#2674_1220,19.43,18004,76.0,24.37,119027,11.507,38.6,4687,0.203,Stream 2 - R150
513.54,6.00,945.00,944.97,4.00,315.00,315.07,990.00,249.99,250.00,249.99,250.0,100.0,0.0,0.00,0.00,0.00,28.67,32.23,78.00,251.11,251.93,251.12,251.75,251.93,252.70,252.37,252.87,253.32,253.72,253.21,253.98,252.92,253.23,,2025-02-08 06:43:35,8,Exp003_R150_#2674_1222,19.43,18105,76.0,24.37,119029,11.507,38.62,3857,0.167,Stream 2 - R150
819.29,6.00,945.00,945.1,4.00,315.00,315.13,990.00,250.0,250.00,250.0,250.0,99.99,0.0,0.00,0.00,0.00,28.67,31.53,78.00,250.04,250.73,250.11,250.74,250.90,251.61,251.34,251.84,252.21,252.55,252.17,252.90,251.94,252.32,,2025-02-08 06:48:41,8,Exp003_R150_#2674_1223,19.43,18105,76.0,24.37,118985,11.503,38.63,3663,0.159,Stream 2 - R150
1121.54,6.00,945.00,945.05,4.00,315.00,315.19,990.00,250.0,250.00,250.0,250.0,99.99,0.0,0.00,0.00,0.00,28.68,31.65,78.00,249.47,250.17,249.43,250.04,250.30,250.98,250.73,251.21,251.63,252.04,251.58,252.31,251.33,251.69,,2025-02-08 06:53:43,8,Exp003_R150_#2674_1225,19.43,18142,76.0,24.37,119014,11.506,38.65,3147,0.136,Stream 2 - R150
1425.57,6.00,945.00,945.0,4.00,315.00,315.02,990.00,250.0,250.00,250.0,250.0,100.01,0.0,0.00,0.00,0.00,28.66,32.21,78.00,249.23,250.04,249.18,249.78,249.97,250.79,250.41,250.88,251.47,251.82,251.30,252.04,250.99,251.34,,2025-02-08 06:58:47,8,Exp003_R150_#2674_1227,19.43,17674,75.0,24.37,119183,11.522,38.65,2854,0.124,Stream 2 - R150
1729.56,6.00,945.00,945.03,4.00,315.00,315.28,990.00,250.0,250.00,250.0,250.0,99.98,0.0,0.00,0.00,0.00,28.68,31.52,78.00,249.08,249.90,249.06,249.69,249.79,250.58,250.26,250.81,251.30,251.63,251.10,251.86,250.96,251.28,,2025-02-08 07:03:51,8,Exp003_R150_#2674_1228,19.43,17701,75.0,24.38,119088,11.513,38.66,2821,0.122,Stream 2 - R150
2035.26,6.00,945.00,944.97,4.00,315.00,315.1,990.00,250.0,250.00,250.0,250.0,99.98,0.0,0.00,0.00,0.00,28.67,31.86,78.00,249.05,249.85,248.93,249.51,249.68,250.47,250.23,250.75,251.18,251.57,251.01,251.74,250.86,251.13,,2025-02-08 07:08:57,8,Exp003_R150_#2674_1230,19.43,17781,75.0,24.38,119112,11.515,38.66,2579,0.112,Stream 2 - R150
2337.51,6.00,945.00,945.02,4.00,315.00,315.13,990.00,250.0,250.00,250.0,250.0,99.99,0.0,0.00,0.00,0.00,28.67,31.27,78.01,249.04,249.86,249.05,249.63,249.66,250.46,250.18,250.72,251.13,251.45,251.00,251.75,250.80,251.08,,2025-02-08 07:13:59,8,Exp003_R150_#2674_1232,19.43,17819,75.0,24.38,119283,11.532,38.67,2455,0.106,Stream 2 - R150
2641.51,6.00,945.00,944.91,4.00,315.00,315.15,990.00,250.0,250.00,250.0,250.0,99.99,0.0,0.00,0.00,0.00,28.67,31.76,78.01,249.07,249.90,249.01,249.63,249.72,250.59,250.14,250.64,251.20,251.48,250.97,251.71,250.77,251.08,,2025-02-08 07:19:03,8,Exp003_R150_#2674_1233,19.44,17834,75.0,24.38,119290,11.533,38.67,2413,0.105,Stream 2 - R150
2945.49,6.00,945.00,945.02,4.00,315.00,315.13,990.00,250.0,250.00,250.0,250.0,99.98,0.0,0.00,0.00,0.00,28.67,31.70,78.00,249.10,249.84,248.99,249.62,249.65,250.44,250.16,250.70,251.09,251.45,250.94,251.68,250.75,251.06,,2025-02-08 07:24:07,8,Exp003_R150_#2674_1235,19.44,17883,75.0,24.38,119432,11.546,38.68,2419,0.105,Stream 2 - R150
