RelativeTime,H2 Node,H2 Set-Point,H2 Actual Flow,N2 Node,N2 Set-Point,N2 Actual Flow,T Reactor (sliding TC),T Heater 1,SP Heater 1,,,Pressure setpoint,N2 poisoning set-point,N2 poisoning Actual flow,H2 Uncontrolled flow,N2 Uncontrolled flow,Inlet calc. flowrate,Outlet meas.flowrate,Pressure reading,T14,T13,T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,,Date,Stage,File,RT (sec),Area,H2,RT (sec)       _1,Area           _2,N2,RT (sec)       _3,Area           _4,NH3,Sample name
273.47,6.00,945.00,945.01,4.00,242.70,244.77,990.00,350.0,350.00,350.0,350.0,100.09,72.3,70.09,0.00,0.00,28.65,29.85,78.40,354.11,354.77,356.84,357.17,358.87,360.52,362.48,366.61,370.03,372.23,372.04,371.61,368.59,366.39,,2025-04-23 06:32:55,212,Exp003_R150_#2674_30203,18.42,17018,74.0,21.72,201187,19.45,38.01,208315,9.032,Stream 2 - R150
577.45,6.00,945.00,945.06,4.00,242.70,242.69,990.00,350.0,350.00,350.0,350.0,100.06,72.3,72.28,0.00,0.00,28.66,29.59,78.38,353.97,354.75,356.86,357.28,358.97,360.65,362.72,367.04,370.65,372.82,372.50,371.99,368.92,366.58,,2025-04-23 06:37:59,212,Exp003_R150_#2674_30205,18.42,16473,72.0,21.71,206173,19.932,38.01,208622,9.046,Stream 2 - R150
881.45,6.00,945.00,944.98,4.00,242.70,242.69,990.00,350.0,350.00,350.0,350.0,100.04,72.3,72.28,0.00,0.00,28.66,30.83,78.37,354.01,354.75,356.84,357.27,359.04,360.69,362.80,367.14,370.72,372.87,372.65,372.16,368.96,366.65,,2025-04-23 06:43:03,212,Exp003_R150_#2674_30208,18.41,16410,72.0,21.71,206071,19.922,38.01,209460,9.082,Stream 2 - R150
1187.07,6.00,945.00,944.99,4.00,242.70,242.69,990.00,350.0,350.00,350.0,350.0,100.0,72.3,72.29,0.00,0.00,28.66,30.87,78.34,354.08,354.68,356.91,357.31,358.99,360.68,362.68,367.06,370.62,372.80,372.65,372.15,369.00,366.65,,2025-04-23 06:48:09,212,Exp003_R150_#2674_30210,18.42,16483,73.0,21.71,206131,19.928,38.01,209608,9.088,Stream 2 - R150
1489.47,6.00,945.00,945.04,4.00,242.70,242.69,990.00,350.0,350.00,350.0,350.0,99.96,72.3,72.29,0.00,0.00,28.66,30.80,78.31,353.99,354.77,356.87,357.31,358.97,360.68,362.77,367.10,370.66,372.85,372.69,372.19,369.04,366.67,,2025-04-23 06:53:11,212,Exp003_R150_#2674_30212,18.42,16479,73.0,21.71,206032,19.918,38.02,209478,9.083,Stream 2 - R150
1793.44,6.00,945.00,945.06,4.00,242.70,242.69,990.00,350.0,350.00,350.0,350.0,99.92,72.3,72.30,0.00,0.00,28.66,30.83,78.28,354.07,354.68,356.86,357.27,359.05,360.72,362.72,367.09,370.58,372.87,372.64,372.14,368.99,366.65,,2025-04-23 06:58:15,212,Exp003_R150_#2674_30215,18.41,16455,72.0,21.7,205727,19.889,38.02,209154,9.069,Stream 2 - R150
2097.45,6.00,945.00,945.01,4.00,242.70,242.69,990.00,349.99,350.00,349.99,350.0,99.88,72.3,72.30,0.00,0.00,28.66,30.81,78.25,354.06,354.67,356.89,357.31,358.98,360.68,362.75,367.10,370.69,372.85,372.71,372.22,368.99,366.63,,2025-04-23 07:03:19,212,Exp003_R150_#2674_30217,18.41,16435,72.0,21.7,205619,19.879,38.02,207921,9.015,Stream 2 - R150
2403.07,6.00,945.00,944.96,4.00,242.70,242.69,990.00,350.0,350.00,350.0,350.0,99.83,72.3,72.31,0.00,0.00,28.66,30.94,78.22,354.04,354.73,356.88,357.29,359.02,360.63,362.63,366.94,370.62,372.81,372.70,372.21,368.95,366.65,,2025-04-23 07:08:25,212,Exp003_R150_#2674_30219,18.41,16858,73.0,21.7,205507,19.868,38.02,207378,8.992,Stream 2 - R150
2705.42,6.00,945.00,945.12,4.00,242.70,242.72,990.00,350.0,350.00,350.0,350.0,99.94,72.3,72.31,0.00,0.00,28.66,30.25,78.28,354.03,354.75,356.92,357.35,358.99,360.66,362.63,366.97,370.59,372.78,372.62,372.15,369.00,366.64,,2025-04-23 07:13:27,212,Exp003_R150_#2674_30222,18.41,16877,73.0,21.7,205305,19.848,38.02,207020,8.976,Stream 2 - R150
3009.44,6.00,945.00,944.79,4.00,242.70,242.65,990.00,350.0,350.00,350.0,350.0,99.93,72.3,72.31,0.00,0.00,28.66,31.42,78.28,353.95,354.76,356.83,357.29,358.94,360.60,362.62,366.88,370.53,372.77,372.63,372.18,368.98,366.65,,2025-04-23 07:18:31,212,Exp003_R150_#2674_30224,18.41,16471,72.0,21.7,205298,19.848,38.02,207405,8.993,Stream 2 - R150
