RelativeTime,H2 Node,H2 Set-Point,H2 Actual Flow,N2 Node,N2 Set-Point,N2 Actual Flow,T Reactor (sliding TC),T Heater 1,SP Heater 1,,,Pressure setpoint,N2 poisoning set-point,N2 poisoning Actual flow,H2 Uncontrolled flow,N2 Uncontrolled flow,Inlet calc. flowrate,Outlet meas.flowrate,Pressure reading,T14,T13,T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,,Date,Stage,File,RT (sec),Area,H2,RT (sec)       _1,Area           _2,N2,RT (sec)       _3,Area           _4,NH3,Sample name
2.83,6.00,945.00,941.14,4.00,315.00,314.34,990.00,400.5,400.00,400.5,400.0,100.14,0.0,0.00,0.00,0.00,28.59,41.98,76.27,410.93,412.36,413.97,415.46,418.03,421.53,426.04,432.95,439.02,440.05,437.51,435.55,432.02,428.01,,2025-02-24 12:14:09,67,Exp003_R150_#2674_9007,19.19,15575,71.0,21.98,227651,22.009,37.71,351381,15.236,Stream 2 - R150
305.6,6.00,945.00,944.97,4.00,315.00,315.15,990.00,399.91,400.00,399.91,400.0,100.0,0.0,0.00,0.00,0.00,28.67,32.72,76.28,407.30,408.78,410.28,411.67,414.38,417.74,422.29,429.10,435.07,436.30,433.83,431.96,428.48,424.41,,2025-02-24 12:19:12,67,Exp003_R150_#2674_9009,19.2,15484,70.0,21.99,228456,22.086,37.75,344118,14.921,Stream 2 - R150
609.6,6.00,945.00,945.1,4.00,315.00,315.26,990.00,400.0,400.00,400.0,400.0,100.0,0.0,0.00,0.00,0.00,28.68,32.50,76.28,405.81,407.12,408.77,410.26,412.86,416.40,420.70,427.55,433.40,434.85,432.44,430.61,427.06,423.06,,2025-02-24 12:24:16,67,Exp003_R150_#2674_9010,19.19,15702,71.0,21.99,228767,22.116,37.74,342206,14.838,Stream 2 - R150
913.59,6.00,945.00,944.57,4.00,315.00,315.09,990.00,399.98,400.00,399.98,400.0,99.99,0.0,0.00,0.00,0.00,28.67,32.30,76.27,405.29,406.54,408.04,409.52,412.19,415.62,419.98,426.88,432.74,434.11,431.82,430.02,426.45,422.41,,2025-02-24 12:29:20,67,Exp003_R150_#2674_9012,19.2,15486,70.0,21.99,229804,22.217,37.77,332281,14.407,Stream 2 - R150
1217.6,6.00,945.00,944.99,4.00,315.00,315.27,990.00,400.0,400.00,400.0,400.0,100.05,0.0,0.00,0.00,0.00,28.68,34.11,76.28,404.92,406.13,407.79,409.30,411.88,415.41,419.63,426.52,432.37,433.85,431.49,429.69,426.06,422.05,,2025-02-24 12:34:24,67,Exp003_R150_#2674_9014,19.2,15512,70.0,21.99,228793,22.119,37.75,331763,14.385,Stream 2 - R150
1521.61,6.00,945.00,945.06,4.00,315.00,315.23,990.00,400.0,400.00,400.0,400.0,100.02,0.0,0.00,0.00,0.00,28.68,32.96,76.27,404.89,406.14,407.70,409.19,411.82,415.28,419.54,426.47,432.30,433.70,431.35,429.53,426.04,421.98,,2025-02-24 12:39:28,67,Exp003_R150_#2674_9016,19.2,15515,70.0,21.99,227860,22.029,37.75,340777,14.776,Stream 2 - R150
1825.57,6.00,945.00,945.19,4.00,315.00,315.36,990.00,400.0,400.00,400.0,400.0,100.0,0.0,0.00,0.00,0.00,28.69,33.01,76.27,404.90,406.21,407.83,409.29,411.80,415.20,419.60,426.67,432.56,433.82,431.47,429.61,426.08,421.98,,2025-02-24 12:44:32,67,Exp003_R150_#2674_9017,19.19,15672,71.0,21.98,227108,21.956,37.73,340922,14.782,Stream 2 - R150
2129.57,6.00,945.00,945.05,4.00,315.00,315.26,990.00,399.99,400.00,399.99,400.0,100.01,0.0,0.00,0.00,0.00,28.68,32.70,76.27,404.85,406.36,407.87,409.31,411.81,415.29,419.56,426.56,432.45,433.86,431.33,429.46,426.04,422.00,,2025-02-24 12:49:36,67,Exp003_R150_#2674_9019,19.2,15471,70.0,21.98,228157,22.057,37.74,341973,14.828,Stream 2 - R150
2433.6,6.00,945.00,944.91,4.00,315.00,315.17,990.00,400.0,400.00,400.0,400.0,100.02,0.0,0.00,0.00,0.00,28.67,33.33,76.27,404.88,406.32,407.86,409.30,411.81,415.27,419.59,426.56,432.46,433.82,431.46,429.63,426.05,422.04,,2025-02-24 12:54:40,67,Exp003_R150_#2674_9021,19.19,15387,70.0,21.97,226159,21.864,37.75,342843,14.865,Stream 2 - R150
2737.57,6.00,945.00,945.13,4.00,315.00,315.15,990.00,400.0,400.00,400.0,400.0,100.0,0.0,0.00,0.00,0.00,28.67,33.36,76.26,404.91,406.32,407.66,409.23,411.88,415.32,419.60,426.51,432.44,433.75,431.36,429.56,426.01,422.04,,2025-02-24 12:59:44,67,Exp003_R150_#2674_9022,19.2,15857,71.0,21.98,227809,22.024,37.75,341859,14.823,Stream 2 - R150
3041.58,6.00,945.00,944.97,4.00,315.00,315.16,990.00,400.0,400.00,400.0,400.0,100.02,0.0,0.00,0.00,0.00,28.67,32.83,76.26,404.96,406.39,407.83,409.25,411.87,415.44,419.43,426.21,432.54,433.55,431.19,429.44,426.14,421.92,,2025-02-24 13:04:48,67,Exp003_R150_#2674_9024,19.19,15638,71.0,21.97,227658,22.009,37.73,334493,14.503,Stream 2 - R150
3345.53,6.00,945.00,945.0,4.00,315.00,315.12,990.00,400.01,400.00,400.01,400.0,99.99,0.0,0.00,0.00,0.00,28.67,32.89,76.25,405.09,406.44,408.04,409.44,412.03,415.52,419.53,426.34,432.51,433.61,431.21,429.48,426.30,421.96,,2025-02-24 13:09:52,67,Exp003_R150_#2674_9026,19.19,15594,71.0,21.97,226096,21.858,37.75,340372,14.758,Stream 2 - R150
3649.57,6.00,945.00,945.09,4.00,315.00,315.22,990.00,400.0,400.00,400.0,400.0,100.02,0.0,0.00,0.00,0.00,28.68,33.17,76.25,405.15,406.47,408.09,409.52,412.09,415.59,419.66,426.49,432.66,433.75,431.36,429.58,426.36,422.02,,2025-02-24 13:14:56,67,Exp003_R150_#2674_9027,19.19,15644,71.0,21.97,225422,21.793,37.75,341892,14.824,Stream 2 - R150
3953.65,6.00,945.00,944.95,4.00,315.00,315.1,990.00,400.0,400.00,400.0,400.0,100.01,0.0,0.00,0.00,0.00,28.67,32.98,76.25,405.20,406.69,408.08,409.53,412.14,415.50,419.75,426.59,432.73,433.94,431.47,429.67,426.35,422.02,,2025-02-24 13:20:00,67,Exp003_R150_#2674_9029,19.19,15678,71.0,21.97,227220,21.967,37.75,333886,14.477,Stream 2 - R150
4257.63,6.00,945.00,944.97,4.00,315.00,315.18,990.00,400.01,400.00,400.01,400.0,100.01,0.0,0.00,0.00,0.00,28.68,33.01,76.25,405.39,406.64,408.11,409.55,412.18,415.64,419.74,426.57,432.77,433.91,431.48,429.67,426.38,422.02,,2025-02-24 13:25:04,67,Exp003_R150_#2674_9031,19.19,15715,71.0,21.97,226898,21.936,37.78,335736,14.557,Stream 2 - R150
4561.64,6.00,945.00,945.08,4.00,315.00,315.1,990.00,399.99,400.00,399.99,400.0,100.01,0.0,0.00,0.00,0.00,28.67,33.24,76.24,405.35,406.57,408.07,409.44,412.11,415.53,419.72,426.55,432.70,433.92,431.38,429.52,426.35,422.00,,2025-02-24 13:30:08,67,Exp003_R150_#2674_9032,19.19,15778,71.0,21.97,225190,21.771,37.78,342605,14.855,Stream 2 - R150
4865.64,6.00,945.00,926.46,4.00,315.00,314.91,990.00,400.01,400.00,400.01,400.0,100.03,0.0,0.00,0.00,0.00,28.56,32.89,76.24,405.33,406.58,408.08,409.50,412.09,415.56,419.71,426.55,432.74,433.86,431.40,429.58,426.36,421.95,,2025-02-24 13:35:12,67,Exp003_R150_#2674_9034,19.2,15811,71.0,21.97,229566,22.194,37.8,333936,14.479,Stream 2 - R150
5169.6,6.00,945.00,945.05,4.00,315.00,314.91,990.00,400.0,400.00,400.0,400.0,100.01,0.0,0.00,0.00,0.00,28.66,33.20,76.24,405.27,406.51,408.06,409.48,412.09,415.50,419.65,426.55,432.71,433.84,431.49,429.64,426.29,421.89,,2025-02-24 13:40:16,67,Exp003_R150_#2674_9036,19.2,15974,71.0,21.98,227505,21.994,37.8,330666,14.337,Stream 2 - R150
5473.62,6.00,945.00,945.06,4.00,315.00,315.04,990.00,400.0,400.00,400.0,400.0,100.0,0.0,0.00,0.00,0.00,28.66,32.62,76.24,405.35,406.64,408.04,409.42,412.11,415.50,419.78,426.62,432.72,433.91,431.43,429.57,426.44,422.03,,2025-02-24 13:45:20,67,Exp003_R150_#2674_9037,19.2,15885,71.0,21.98,226599,21.907,37.78,340629,14.769,Stream 2 - R150
5777.63,6.00,945.00,944.95,4.00,315.00,315.05,990.00,400.0,400.00,400.0,400.0,100.02,0.0,0.00,0.00,0.00,28.67,33.39,76.24,405.34,406.66,408.11,409.52,412.10,415.53,419.73,426.61,432.74,433.88,431.54,429.66,426.31,421.97,,2025-02-24 13:50:24,67,Exp003_R150_#2674_9039,19.21,15405,70.0,21.98,226201,21.868,37.79,340656,14.771,Stream 2 - R150
6081.62,6.00,945.00,944.99,4.00,315.00,314.93,990.00,399.99,400.00,399.99,400.0,100.01,0.0,0.00,0.00,0.00,28.66,32.98,76.24,405.40,406.55,408.19,409.60,412.10,415.60,419.69,426.54,432.75,433.98,431.47,429.68,426.39,422.03,,2025-02-24 13:55:28,67,Exp003_R150_#2674_9041,19.21,15528,70.0,21.98,227617,22.005,37.8,337922,14.652,Stream 2 - R150
6385.65,6.00,945.00,944.98,4.00,315.00,315.05,990.00,400.0,400.00,400.0,400.0,100.01,0.0,0.00,0.00,0.00,28.67,33.18,76.24,405.48,406.80,408.23,409.66,412.27,415.81,419.78,426.68,432.79,434.07,431.61,429.79,426.47,422.08,,2025-02-24 14:00:32,67,Exp003_R150_#2674_9043,19.21,15605,71.0,21.98,226344,21.882,37.8,339531,14.722,Stream 2 - R150
6689.6,6.00,945.00,944.91,4.00,315.00,314.94,990.00,400.0,400.00,400.0,400.0,100.02,0.0,0.00,0.00,0.00,28.66,33.10,76.24,405.51,406.87,408.25,409.71,412.25,415.78,419.85,426.72,432.89,434.18,431.66,429.85,426.48,422.11,,2025-02-24 14:05:36,67,Exp003_R150_#2674_9044,19.21,15864,71.0,21.98,227368,21.981,37.8,339537,14.722,Stream 2 - R150
6993.59,6.00,945.00,945.05,4.00,315.00,314.89,990.00,400.0,400.00,400.0,400.0,100.01,0.0,0.00,0.00,0.00,28.65,32.93,76.24,405.59,407.01,408.30,409.77,412.29,415.82,419.91,426.83,432.92,434.17,431.68,429.85,426.51,422.13,,2025-02-24 14:10:40,67,Exp003_R150_#2674_9046,19.21,15770,71.0,21.99,226999,21.945,37.8,342529,14.852,Stream 2 - R150
7297.59,6.00,945.00,944.93,4.00,315.00,314.89,990.00,399.99,400.00,399.99,400.0,100.02,0.0,0.00,0.00,0.00,28.65,33.51,76.24,405.57,406.87,408.26,409.75,412.27,415.70,419.85,426.75,432.91,434.13,431.59,429.83,426.41,422.09,,2025-02-24 14:15:44,67,Exp003_R150_#2674_9048,19.22,15326,70.0,21.99,228193,22.061,37.82,331482,14.373,Stream 2 - R150
7601.62,6.00,945.00,944.98,4.00,315.00,315.0,990.00,400.0,400.00,400.0,400.0,100.01,0.0,0.00,0.00,0.00,28.66,32.99,76.24,405.57,406.83,408.18,409.59,412.25,415.69,419.83,426.76,432.97,434.14,431.52,429.76,426.43,422.07,,2025-02-24 14:20:48,67,Exp003_R150_#2674_9049,19.22,15344,70.0,21.99,226768,21.923,37.81,342181,14.837,Stream 2 - R150
7905.6,6.00,945.00,945.03,4.00,315.00,314.91,990.00,399.99,400.00,399.99,400.0,100.01,0.0,0.00,0.00,0.00,28.66,33.17,76.24,405.44,406.60,408.21,409.64,412.16,415.60,419.77,426.70,432.92,434.04,431.58,429.82,426.42,422.12,,2025-02-24 14:25:52,67,Exp003_R150_#2674_9051,19.22,15343,70.0,21.98,227767,22.02,37.82,331698,14.382,Stream 2 - R150
