RelativeTime,H2 Node,H2 Set-Point,H2 Actual Flow,N2 Node,N2 Set-Point,N2 Actual Flow,T Reactor (sliding TC),T Heater 1,SP Heater 1,,,Pressure setpoint,N2 poisoning set-point,N2 poisoning Actual flow,H2 Uncontrolled flow,N2 Uncontrolled flow,Inlet calc. flowrate,Outlet meas.flowrate,Pressure reading,T14,T13,T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,,Date,Stage,File,RT (sec),Area,H2,RT (sec)       _1,Area           _2,N2,RT (sec)       _3,Area           _4,NH3,Sample name
249.54,6.00,945.00,945.01,4.00,315.00,314.97,990.00,450.2,450.00,450.2,450.0,94.45,0.0,0.00,0.00,0.00,28.66,30.73,73.28,453.99,455.58,456.36,457.55,459.87,462.88,467.89,474.39,479.75,480.45,476.88,474.43,469.73,467.14,,2025-04-11 14:16:23,191,Exp003_R150_#2674_24736,18.42,15082,70.0,21.75,234942,22.713,37.74,331731,14.384,Stream 2 - R150
553.54,6.00,945.00,944.98,4.00,315.00,314.98,990.00,450.01,450.00,450.01,450.0,94.47,0.0,0.00,0.00,0.00,28.66,30.75,73.29,455.12,456.62,457.32,458.60,460.84,463.76,468.77,475.21,480.56,481.24,477.69,475.23,470.51,468.00,,2025-04-11 14:21:27,191,Exp003_R150_#2674_24737,18.42,15499,70.0,21.74,235031,22.722,37.73,331335,14.366,Stream 2 - R150
857.55,6.00,945.00,944.95,4.00,315.00,314.95,990.00,450.01,450.00,450.01,450.0,94.49,0.0,0.00,0.00,0.00,28.66,30.70,73.30,455.40,456.89,457.62,458.78,461.17,464.23,469.14,475.53,480.74,481.43,477.87,475.41,470.72,468.18,,2025-04-11 14:26:31,191,Exp003_R150_#2674_24739,18.42,15385,70.0,21.74,234710,22.691,37.72,331024,14.353,Stream 2 - R150
1163.27,6.00,945.00,945.01,4.00,315.00,314.99,990.00,450.0,450.00,450.0,450.0,94.5,0.0,0.00,0.00,0.00,28.66,30.71,73.31,455.46,457.04,457.73,458.96,461.23,464.28,469.12,475.51,480.90,481.53,477.89,475.43,470.72,468.24,,2025-04-11 14:31:37,191,Exp003_R150_#2674_24741,18.42,15060,69.0,21.75,234966,22.716,37.71,330983,14.351,Stream 2 - R150
1465.56,6.00,945.00,944.96,4.00,315.00,314.98,990.00,450.0,450.00,450.0,450.0,94.52,0.0,0.00,0.00,0.00,28.66,30.71,73.32,455.43,457.00,457.68,458.99,461.27,464.15,469.18,475.58,480.81,481.59,477.95,475.49,470.75,468.26,,2025-04-11 14:36:39,191,Exp003_R150_#2674_24743,18.42,15367,70.0,21.74,234737,22.693,37.74,331073,14.355,Stream 2 - R150
1769.54,6.00,945.00,944.96,4.00,315.00,315.01,990.00,450.0,450.00,450.0,450.0,94.54,0.0,0.00,0.00,0.00,28.66,30.75,73.33,455.46,456.95,457.67,458.88,461.34,464.19,469.15,475.58,480.79,481.62,477.97,475.48,470.82,468.28,,2025-04-11 14:41:43,191,Exp003_R150_#2674_24744,18.42,15324,70.0,21.74,234732,22.693,37.74,330894,14.347,Stream 2 - R150
2073.54,6.00,945.00,944.88,4.00,315.00,314.83,990.00,450.0,450.00,450.0,450.0,94.54,0.0,0.00,0.00,0.00,28.65,30.77,73.33,455.43,456.93,457.61,458.91,461.29,464.21,469.25,475.64,480.78,481.59,477.99,475.51,470.79,468.27,,2025-04-11 14:46:47,191,Exp003_R150_#2674_24746,18.42,15405,70.0,21.74,234763,22.696,37.72,330829,14.344,Stream 2 - R150
2379.27,6.00,945.00,944.99,4.00,315.00,314.98,990.00,450.0,450.00,450.0,450.0,94.55,0.0,0.00,0.00,0.00,28.66,30.71,73.34,455.40,456.98,457.70,458.99,461.33,464.30,469.15,475.59,480.74,481.56,477.94,475.49,470.78,468.26,,2025-04-11 14:51:53,191,Exp003_R150_#2674_24748,18.42,15320,70.0,21.74,234402,22.661,37.73,331565,14.376,Stream 2 - R150
2681.52,6.00,945.00,944.88,4.00,315.00,315.01,990.00,450.01,450.00,450.01,450.0,94.56,0.0,0.00,0.00,0.00,28.66,30.70,73.34,455.38,456.98,457.66,458.99,461.27,464.24,469.11,475.57,480.82,481.58,477.89,475.44,470.80,468.30,,2025-04-11 14:56:55,191,Exp003_R150_#2674_24749,18.42,15397,70.0,21.74,234435,22.664,37.73,331029,14.353,Stream 2 - R150
2985.52,6.00,945.00,945.02,4.00,315.00,314.95,990.00,449.99,450.00,449.99,450.0,94.56,0.0,0.00,0.00,0.00,28.66,30.71,73.34,455.28,456.94,457.54,458.92,461.22,464.19,468.93,475.41,480.63,481.49,477.86,475.41,470.80,468.33,,2025-04-11 15:01:59,191,Exp003_R150_#2674_24751,18.42,15270,70.0,21.73,234241,22.646,37.73,330895,14.347,Stream 2 - R150
