RelativeTime,H2 Node,H2 Set-Point,H2 Actual Flow,N2 Node,N2 Set-Point,N2 Actual Flow,T Reactor (sliding TC),T Heater 1,SP Heater 1,,,Pressure setpoint,N2 poisoning set-point,N2 poisoning Actual flow,H2 Uncontrolled flow,N2 Uncontrolled flow,Inlet calc. flowrate,Outlet meas.flowrate,Pressure reading,T14,T13,T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,,Date,Stage,File,RT (sec),Area,H2,RT (sec)       _1,Area           _2,N2,RT (sec)       _3,Area           _4,NH3,Sample name
9.58,6.00,945.00,944.85,4.00,315.00,314.99,990.00,450.02,250.00,450.02,250.0,99.74,0.0,0.00,0.00,0.00,28.66,30.72,78.46,454.80,456.57,458.12,459.74,461.49,465.57,469.15,476.06,481.05,482.21,478.87,476.67,471.34,469.14,,2025-03-28 19:31:45,144,Exp003_R150_#2674_18224,18.41,19913,79.0,22.03,249474,24.118,38.49,2543,0.11,Stream 2 - R150
313.53,6.00,945.00,945.0,4.00,315.00,315.0,990.00,447.85,250.00,447.85,250.0,99.73,0.0,0.00,0.00,0.00,28.66,30.68,78.45,453.04,454.84,456.22,457.89,459.71,463.78,467.35,474.16,479.22,480.38,476.97,474.72,469.51,467.36,,2025-03-28 19:36:49,144,Exp003_R150_#2674_18226,18.41,19138,78.0,22.04,249434,24.114,38.48,2687,0.117,Stream 2 - R150
619.15,6.00,945.00,944.97,4.00,315.00,314.99,990.00,442.63,250.00,442.63,250.0,99.72,0.0,0.00,0.00,0.00,28.66,30.63,78.43,449.07,450.78,452.01,453.66,455.36,459.57,463.29,470.07,474.97,476.23,473.05,470.85,465.58,463.38,,2025-03-28 19:41:54,144,Exp003_R150_#2674_18228,18.42,19434,78.0,22.04,249374,24.109,38.48,2841,0.123,Stream 2 - R150
921.57,6.00,945.00,945.03,4.00,315.00,315.0,990.00,437.55,250.00,437.55,250.0,99.71,0.0,0.00,0.00,0.00,28.66,30.60,78.43,444.46,446.13,447.25,448.93,450.61,454.87,458.62,465.38,470.31,471.75,468.51,466.33,461.13,458.88,,2025-03-28 19:46:57,144,Exp003_R150_#2674_18229,18.4,19894,79.0,22.04,249461,24.117,38.46,2922,0.127,Stream 2 - R150
1225.52,6.00,945.00,944.93,4.00,315.00,314.99,990.00,432.48,250.00,432.48,250.0,99.7,0.0,0.00,0.00,0.00,28.66,30.62,78.42,439.58,441.27,442.36,443.96,445.73,449.88,453.60,460.35,465.36,466.92,463.76,461.70,456.45,454.13,,2025-03-28 19:52:01,144,Exp003_R150_#2674_18231,18.42,19431,78.0,22.05,249276,24.099,38.47,3084,0.134,Stream 2 - R150
1529.52,6.00,945.00,944.99,4.00,315.00,314.99,990.00,427.41,250.00,427.41,250.0,99.7,0.0,0.00,0.00,0.00,28.66,30.67,78.41,434.47,436.12,437.23,438.87,440.56,444.77,448.52,455.28,460.41,461.99,458.96,456.98,451.67,449.29,,2025-03-28 19:57:05,144,Exp003_R150_#2674_18233,18.42,19161,78.0,22.06,249202,24.092,38.48,3271,0.142,Stream 2 - R150
1835.11,6.00,945.00,944.97,4.00,315.00,315.0,990.00,422.35,250.00,422.35,250.0,99.7,0.0,0.00,0.00,0.00,28.66,30.65,78.41,429.45,431.10,432.14,433.73,435.45,439.58,443.52,450.18,455.15,456.89,454.05,452.12,446.95,444.51,,2025-03-28 20:02:10,144,Exp003_R150_#2674_18235,18.41,19176,78.0,22.05,249213,24.093,38.44,3468,0.15,Stream 2 - R150
2137.54,6.00,945.00,944.97,4.00,315.00,314.99,990.00,417.28,250.00,417.28,250.0,99.7,0.0,0.00,0.00,0.00,28.66,30.67,78.41,424.35,426.03,427.02,428.64,430.34,434.39,438.28,444.86,449.95,451.79,448.98,447.15,442.04,439.65,,2025-03-28 20:07:13,144,Exp003_R150_#2674_18236,18.4,19857,79.0,22.05,249202,24.092,38.47,3556,0.154,Stream 2 - R150
2441.54,6.00,945.00,944.96,4.00,315.00,314.99,990.00,412.21,250.00,412.21,250.0,99.7,0.0,0.00,0.00,0.00,28.66,30.68,78.41,419.18,420.84,421.92,423.53,425.22,429.26,432.95,439.46,444.62,446.51,443.82,442.03,437.05,434.61,,2025-03-28 20:12:17,144,Exp003_R150_#2674_18238,18.42,19370,78.0,22.06,249260,24.098,38.44,3777,0.164,Stream 2 - R150
2745.52,6.00,945.00,945.01,4.00,315.00,315.0,990.00,407.15,250.00,407.15,250.0,99.71,0.0,0.00,0.00,0.00,28.66,30.69,78.41,414.12,415.76,416.81,418.43,420.10,424.04,427.79,434.22,439.23,441.14,438.70,437.01,432.03,429.68,,2025-03-28 20:17:21,144,Exp003_R150_#2674_18240,18.4,19837,79.0,22.05,249280,24.099,38.46,3994,0.173,Stream 2 - R150
3051.21,6.00,945.00,945.04,4.00,315.00,314.99,990.00,402.08,250.00,402.08,250.0,99.72,0.0,0.00,0.00,0.00,28.66,30.67,78.41,409.06,410.64,411.80,413.34,415.03,418.98,422.48,428.76,433.83,435.79,433.48,431.89,426.91,424.55,,2025-03-28 20:22:26,144,Exp003_R150_#2674_18241,18.42,19725,78.0,22.07,249150,24.087,38.45,4092,0.177,Stream 2 - R150
3353.52,6.00,945.00,944.97,4.00,315.00,314.99,990.00,397.01,250.00,397.01,250.0,99.72,0.0,0.00,0.00,0.00,28.66,30.71,78.41,403.91,405.56,406.58,408.20,409.79,413.65,417.01,423.17,428.15,430.22,428.10,426.56,421.71,419.40,,2025-03-28 20:27:29,144,Exp003_R150_#2674_18243,18.42,19332,78.0,22.07,249003,24.073,38.47,4326,0.188,Stream 2 - R150
3657.5,6.00,945.00,945.02,4.00,315.00,314.99,990.00,391.94,250.00,391.94,250.0,99.72,0.0,0.00,0.00,0.00,28.66,30.70,78.41,398.77,400.41,401.49,403.03,404.64,408.47,411.69,417.72,422.47,424.57,422.64,421.18,416.51,414.20,,2025-03-28 20:32:33,144,Exp003_R150_#2674_18245,18.41,19697,78.0,22.06,248971,24.07,38.45,4565,0.198,Stream 2 - R150
3961.56,6.00,945.00,944.99,4.00,315.00,314.99,990.00,386.88,250.00,386.88,250.0,99.73,0.0,0.00,0.00,0.00,28.66,30.71,78.41,393.66,395.36,396.36,397.91,399.38,403.13,406.33,412.13,416.76,418.88,417.21,415.86,411.20,408.98,,2025-03-28 20:37:37,144,Exp003_R150_#2674_18246,18.43,19352,78.0,22.08,248878,24.061,38.45,4726,0.205,Stream 2 - R150
