RelativeTime,H2 Node,H2 Set-Point,H2 Actual Flow,N2 Node,N2 Set-Point,N2 Actual Flow,T Reactor (sliding TC),T Heater 1,SP Heater 1,,,Pressure setpoint,N2 poisoning set-point,N2 poisoning Actual flow,H2 Uncontrolled flow,N2 Uncontrolled flow,Inlet calc. flowrate,Outlet meas.flowrate,Pressure reading,T14,T13,T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,,Date,Stage,File,RT (sec),Area,H2,RT (sec)       _1,Area           _2,N2,RT (sec)       _3,Area           _4,NH3,Sample name
105.52,6.00,945.00,945.09,4.00,120.00,120.02,990.00,450.06,450.00,450.06,450.0,95.72,195.0,195.00,0.00,0.00,28.66,30.30,74.53,454.74,456.17,456.57,457.55,460.13,462.61,467.68,473.78,478.65,479.83,476.52,474.33,469.73,467.24,,2025-04-05 16:35:04,170,Exp003_R150_#2674_21903,19.25,15765,71.0,22.23,237919,23.001,37.7,316941,13.742,Stream 2 - R150
409.51,6.00,945.00,945.0,4.00,120.00,120.0,990.00,450.02,450.00,450.02,450.0,95.72,195.0,195.00,0.00,0.00,28.66,30.29,74.53,455.12,456.52,456.98,457.92,460.58,463.12,468.11,474.15,479.12,480.23,476.87,474.63,470.07,467.58,,2025-04-05 16:40:08,170,Exp003_R150_#2674_21905,19.25,15752,71.0,22.22,237867,22.996,37.7,317040,13.747,Stream 2 - R150
713.51,6.00,945.00,945.02,4.00,120.00,119.99,990.00,450.0,450.00,450.0,450.0,95.74,195.0,195.00,0.00,0.00,28.66,30.30,74.54,455.23,456.73,457.09,458.06,460.61,462.85,468.14,474.23,479.14,480.34,476.87,474.66,470.08,467.59,,2025-04-05 16:45:12,170,Exp003_R150_#2674_21907,19.25,15794,71.0,22.22,238100,23.019,37.69,317248,13.756,Stream 2 - R150
1017.53,6.00,945.00,944.97,4.00,120.00,120.0,990.00,450.0,450.00,450.0,450.0,95.74,195.0,195.00,0.00,0.00,28.66,30.31,74.54,455.29,456.81,457.09,458.02,460.74,463.07,468.28,474.36,479.18,480.31,476.88,474.67,470.14,467.66,,2025-04-05 16:50:16,170,Exp003_R150_#2674_21909,19.25,15800,71.0,22.21,237886,22.998,37.69,317597,13.771,Stream 2 - R150
1321.53,6.00,945.00,945.04,4.00,120.00,119.98,990.00,450.01,450.00,450.01,450.0,95.74,195.0,195.00,0.00,0.00,28.66,30.34,74.55,455.25,456.70,457.11,458.05,460.73,463.16,468.26,474.36,479.35,480.35,477.01,474.80,470.17,467.70,,2025-04-05 16:55:20,170,Exp003_R150_#2674_21910,19.25,15806,71.0,22.21,237880,22.997,37.69,317680,13.774,Stream 2 - R150
1625.51,6.00,945.00,944.93,4.00,120.00,119.99,990.00,450.0,450.00,450.0,450.0,95.75,195.0,195.00,0.00,0.00,28.66,30.31,74.54,455.30,456.74,457.10,458.11,460.70,463.06,468.24,474.37,479.26,480.35,477.00,474.79,470.16,467.71,,2025-04-05 17:00:24,170,Exp003_R150_#2674_21912,19.27,15456,70.0,22.23,237372,22.948,37.69,317870,13.783,Stream 2 - R150
1929.51,6.00,945.00,944.98,4.00,120.00,119.99,990.00,450.0,450.00,450.0,450.0,95.75,195.0,195.00,0.00,0.00,28.66,30.33,74.55,455.24,456.70,457.11,458.05,460.74,463.09,468.24,474.37,479.28,480.43,476.92,474.72,470.23,467.74,,2025-04-05 17:05:28,170,Exp003_R150_#2674_21914,19.27,15492,70.0,22.22,237358,22.947,37.69,317969,13.787,Stream 2 - R150
2233.51,6.00,945.00,944.97,4.00,120.00,119.99,990.00,450.0,450.00,450.0,450.0,95.76,195.0,195.00,0.00,0.00,28.66,30.30,74.55,455.31,456.70,457.05,457.98,460.66,463.07,468.21,474.33,479.30,480.46,476.97,474.78,470.18,467.70,,2025-04-05 17:10:32,170,Exp003_R150_#2674_21915,19.27,15513,70.0,22.22,237262,22.938,37.68,318194,13.797,Stream 2 - R150
2537.61,6.00,945.00,945.02,4.00,120.00,120.0,990.00,450.0,450.00,450.0,450.0,95.76,195.0,195.00,0.00,0.00,28.66,30.32,74.56,455.28,456.79,457.16,458.04,460.71,463.13,468.27,474.39,479.31,480.47,477.03,474.83,470.19,467.69,,2025-04-05 17:15:36,170,Exp003_R150_#2674_21917,19.27,15441,70.0,22.22,237304,22.942,37.68,318505,13.81,Stream 2 - R150
2841.58,6.00,945.00,944.96,4.00,120.00,120.01,990.00,450.0,450.00,450.0,450.0,95.77,195.0,195.00,0.00,0.00,28.66,30.32,74.56,455.23,456.66,457.07,457.99,460.77,463.24,468.26,474.41,479.36,480.43,476.99,474.78,470.23,467.73,,2025-04-05 17:20:40,170,Exp003_R150_#2674_21919,19.27,15449,70.0,22.21,237283,22.94,37.73,318681,13.818,Stream 2 - R150
3145.58,6.00,945.00,945.04,4.00,120.00,119.99,990.00,449.99,450.00,449.99,450.0,95.78,195.0,195.00,0.00,0.00,28.66,30.32,74.56,455.19,456.68,457.11,458.06,460.78,463.04,468.23,474.35,479.26,480.42,476.93,474.71,470.17,467.67,,2025-04-05 17:25:44,170,Exp003_R150_#2674_21920,19.26,15393,70.0,22.21,237297,22.941,37.73,318694,13.818,Stream 2 - R150
3449.54,6.00,945.00,945.01,4.00,120.00,120.0,990.00,450.01,450.00,450.01,450.0,95.78,195.0,195.00,0.00,0.00,28.66,30.30,74.57,455.20,456.68,457.11,458.01,460.69,463.18,468.26,474.41,479.41,480.49,477.04,474.84,470.17,467.70,,2025-04-05 17:30:48,170,Exp003_R150_#2674_21922,19.27,15426,70.0,22.21,237279,22.939,37.73,318667,13.817,Stream 2 - R150
3753.54,6.00,945.00,944.97,4.00,120.00,119.99,990.00,450.0,450.00,450.0,450.0,95.79,195.0,195.00,0.00,0.00,28.66,30.28,74.57,455.25,456.64,457.11,458.04,460.70,463.32,468.28,474.37,479.40,480.48,477.00,474.80,470.26,467.78,,2025-04-05 17:35:52,170,Exp003_R150_#2674_21924,19.26,15407,70.0,22.2,237290,22.94,37.73,319056,13.834,Stream 2 - R150
4057.53,6.00,945.00,945.02,4.00,120.00,119.99,990.00,450.0,450.00,450.0,450.0,95.8,195.0,195.00,0.00,0.00,28.66,30.26,74.57,455.25,456.65,457.07,457.95,460.75,463.20,468.29,474.39,479.35,480.48,477.05,474.82,470.27,467.78,,2025-04-05 17:40:56,170,Exp003_R150_#2674_21925,19.26,15410,70.0,22.2,237279,22.939,37.73,318814,13.824,Stream 2 - R150
4361.52,6.00,945.00,945.0,4.00,120.00,119.99,990.00,450.0,450.00,450.0,450.0,95.81,195.0,195.00,0.00,0.00,28.66,30.30,74.58,455.28,456.71,457.08,458.01,460.69,463.16,468.27,474.37,479.40,480.51,477.01,474.81,470.30,467.77,,2025-04-05 17:46:00,170,Exp003_R150_#2674_21927,19.26,15364,70.0,22.19,237306,22.942,37.72,318895,13.827,Stream 2 - R150
4665.54,6.00,945.00,945.0,4.00,120.00,119.99,990.00,450.0,450.00,450.0,450.0,95.81,195.0,195.00,0.00,0.00,28.66,30.32,74.58,455.23,456.63,457.02,457.97,460.68,463.10,468.31,474.43,479.36,480.53,476.97,474.76,470.25,467.73,,2025-04-05 17:51:04,170,Exp003_R150_#2674_21929,19.26,15376,70.0,22.19,237254,22.937,37.73,319183,13.839,Stream 2 - R150
4969.54,6.00,945.00,944.95,4.00,120.00,119.99,990.00,450.0,450.00,450.0,450.0,95.82,195.0,195.00,0.00,0.00,28.66,30.33,74.59,455.20,456.60,457.04,457.94,460.74,463.38,468.27,474.36,479.39,480.44,477.06,474.81,470.24,467.72,,2025-04-05 17:56:08,170,Exp003_R150_#2674_21930,19.26,15401,70.0,22.19,237372,22.948,37.73,319134,13.837,Stream 2 - R150
5273.53,6.00,945.00,944.98,4.00,120.00,119.98,990.00,450.0,450.00,450.0,450.0,95.82,195.0,195.00,0.00,0.00,28.66,30.32,74.59,455.23,456.55,457.00,457.98,460.74,463.34,468.31,474.41,479.33,480.45,477.03,474.81,470.23,467.74,,2025-04-05 18:01:12,170,Exp003_R150_#2674_21932,19.27,15426,70.0,22.19,237332,22.944,37.73,319075,13.835,Stream 2 - R150
5577.53,6.00,945.00,944.95,4.00,120.00,119.99,990.00,450.0,450.00,450.0,450.0,95.82,195.0,195.00,0.00,0.00,28.66,30.32,74.58,455.23,456.58,457.05,458.07,460.65,463.23,468.27,474.36,479.29,480.46,477.01,474.77,470.24,467.77,,2025-04-05 18:06:16,170,Exp003_R150_#2674_21934,19.26,15390,70.0,22.18,237298,22.941,37.73,319221,13.841,Stream 2 - R150
5881.53,6.00,945.00,945.04,4.00,120.00,119.99,990.00,450.0,450.00,450.0,450.0,95.82,195.0,195.00,0.00,0.00,28.66,30.30,74.58,455.15,456.57,457.14,458.11,460.71,463.17,468.29,474.43,479.28,480.47,477.04,474.79,470.24,467.71,,2025-04-05 18:11:20,170,Exp003_R150_#2674_21936,19.26,15705,71.0,22.17,237337,22.945,37.72,319284,13.844,Stream 2 - R150
6185.51,6.00,945.00,945.05,4.00,120.00,119.99,990.00,450.0,450.00,450.0,450.0,95.82,195.0,195.00,0.00,0.00,28.66,30.32,74.58,455.19,456.64,457.03,458.00,460.67,463.02,468.28,474.43,479.19,480.44,477.05,474.82,470.19,467.71,,2025-04-05 18:16:24,170,Exp003_R150_#2674_21937,19.27,15471,70.0,22.18,237157,22.927,37.73,319100,13.836,Stream 2 - R150
6489.51,6.00,945.00,945.03,4.00,120.00,119.99,990.00,450.0,450.00,450.0,450.0,95.82,195.0,195.00,0.00,0.00,28.66,30.30,74.58,455.16,456.60,457.10,458.05,460.61,463.08,468.25,474.38,479.26,480.43,477.01,474.76,470.20,467.70,,2025-04-05 18:21:28,170,Exp003_R150_#2674_21939,19.27,15535,70.0,22.17,237182,22.93,37.73,319373,13.848,Stream 2 - R150
6793.49,6.00,945.00,944.99,4.00,120.00,119.99,990.00,450.0,450.00,450.0,450.0,95.83,195.0,195.00,0.00,0.00,28.66,30.29,74.59,455.16,456.60,457.07,458.02,460.68,463.08,468.26,474.34,479.26,480.44,477.00,474.78,470.19,467.70,,2025-04-05 18:26:32,170,Exp003_R150_#2674_21941,19.27,15578,71.0,22.17,237097,22.922,37.74,319317,13.845,Stream 2 - R150
7097.53,6.00,945.00,944.94,4.00,120.00,120.0,990.00,450.0,450.00,450.0,450.0,95.83,195.0,195.00,0.00,0.00,28.66,30.29,74.59,455.25,456.69,457.07,458.05,460.68,463.04,468.30,474.41,479.33,480.50,477.03,474.84,470.19,467.70,,2025-04-05 18:31:36,170,Exp003_R150_#2674_21942,19.27,15587,71.0,22.17,237080,22.92,37.74,319321,13.845,Stream 2 - R150
7401.53,6.00,945.00,944.95,4.00,120.00,119.99,990.00,450.0,450.00,450.0,450.0,95.83,195.0,195.00,0.00,0.00,28.66,30.27,74.59,455.22,456.67,457.08,457.99,460.73,463.26,468.30,474.42,479.42,480.50,477.07,474.89,470.26,467.76,,2025-04-05 18:36:40,170,Exp003_R150_#2674_21944,19.27,15569,71.0,22.16,237064,22.918,37.74,319535,13.855,Stream 2 - R150
7705.58,6.00,945.00,945.07,4.00,120.00,120.0,990.00,450.0,450.00,450.0,450.0,95.84,195.0,195.00,0.00,0.00,28.66,30.34,74.59,455.22,456.64,457.07,458.03,460.73,463.09,468.26,474.37,479.28,480.47,477.08,474.87,470.25,467.77,,2025-04-05 18:41:44,170,Exp003_R150_#2674_21946,19.27,15651,71.0,22.16,237131,22.925,37.74,319151,13.838,Stream 2 - R150
8009.51,6.00,945.00,944.95,4.00,120.00,119.99,990.00,450.0,450.00,450.0,450.0,95.83,195.0,195.00,0.00,0.00,28.66,30.31,74.59,455.30,456.67,457.09,458.02,460.69,463.29,468.26,474.38,479.37,480.50,477.08,474.87,470.22,467.75,,2025-04-05 18:46:48,170,Exp003_R150_#2674_21947,19.27,15713,71.0,22.16,237094,22.921,37.74,319140,13.838,Stream 2 - R150
8313.6,6.00,945.00,945.03,4.00,120.00,119.99,990.00,450.0,450.00,450.0,450.0,95.83,195.0,195.00,0.00,0.00,28.66,30.32,74.59,455.24,456.58,457.04,458.03,460.69,463.16,468.23,474.37,479.24,480.50,477.09,474.87,470.27,467.77,,2025-04-05 18:51:52,170,Exp003_R150_#2674_21949,19.27,15730,71.0,22.16,236949,22.907,37.75,319225,13.841,Stream 2 - R150
8617.49,6.00,945.00,944.9,4.00,120.00,120.0,990.00,450.0,450.00,450.0,450.0,95.84,195.0,195.00,0.00,0.00,28.66,30.31,74.59,455.25,456.64,457.07,458.01,460.76,463.47,468.35,474.44,479.40,480.52,477.09,474.88,470.24,467.75,,2025-04-05 18:56:56,170,Exp003_R150_#2674_21951,19.27,15762,71.0,22.15,236993,22.912,37.75,319455,13.851,Stream 2 - R150
8921.49,6.00,945.00,944.93,4.00,120.00,119.98,990.00,450.0,450.00,450.0,450.0,95.85,195.0,195.00,0.00,0.00,28.66,30.30,74.59,455.28,456.60,457.06,458.00,460.71,463.40,468.33,474.42,479.32,480.49,477.03,474.83,470.21,467.73,,2025-04-05 19:02:00,170,Exp003_R150_#2674_21952,19.27,15332,70.0,22.15,236940,22.907,37.76,319292,13.844,Stream 2 - R150
9225.48,6.00,945.00,945.04,4.00,120.00,120.0,990.00,450.0,450.00,450.0,450.0,95.85,195.0,195.00,0.00,0.00,28.66,30.32,74.59,455.22,456.53,457.06,458.04,460.71,463.31,468.29,474.36,479.23,480.41,477.09,474.88,470.24,467.75,,2025-04-05 19:07:04,170,Exp003_R150_#2674_21954,19.27,15425,70.0,22.15,236919,22.905,37.76,319204,13.84,Stream 2 - R150
9529.56,6.00,945.00,944.99,4.00,120.00,120.0,990.00,450.0,450.00,450.0,450.0,95.84,195.0,195.00,0.00,0.00,28.66,30.33,74.59,455.32,456.65,457.17,458.18,460.68,463.34,468.29,474.40,479.25,480.48,477.06,474.87,470.28,467.77,,2025-04-05 19:12:08,170,Exp003_R150_#2674_21956,19.28,15472,70.0,22.14,236821,22.895,37.76,319572,13.856,Stream 2 - R150
9833.56,6.00,945.00,945.03,4.00,120.00,120.0,990.00,450.0,450.00,450.0,450.0,95.83,195.0,195.00,0.00,0.00,28.66,30.34,74.58,455.22,456.51,457.11,458.17,460.60,463.34,468.33,474.42,479.31,480.41,477.06,474.86,470.30,467.75,,2025-04-05 19:17:12,170,Exp003_R150_#2674_21957,19.28,15501,70.0,22.14,236712,22.884,37.77,319445,13.851,Stream 2 - R150
10137.56,6.00,945.00,944.98,4.00,120.00,120.03,990.00,450.0,450.00,450.0,450.0,95.82,195.0,195.00,0.00,0.00,28.66,30.34,74.57,455.24,456.58,457.11,458.07,460.65,463.24,468.27,474.37,479.30,480.51,477.03,474.79,470.19,467.68,,2025-04-05 19:22:16,170,Exp003_R150_#2674_21959,19.28,15624,71.0,22.14,236657,22.879,37.78,319378,13.848,Stream 2 - R150
10441.54,6.00,945.00,945.01,4.00,120.00,120.02,990.00,450.0,450.00,450.0,450.0,95.82,195.0,195.00,0.00,0.00,28.66,30.33,74.57,455.22,456.55,457.09,458.09,460.71,463.45,468.26,474.35,479.30,480.47,477.06,474.84,470.20,467.71,,2025-04-05 19:27:20,170,Exp003_R150_#2674_21961,19.27,15563,71.0,22.12,236933,22.906,37.78,319316,13.845,Stream 2 - R150
10745.55,6.00,945.00,944.99,4.00,120.00,120.04,990.00,450.0,450.00,450.0,450.0,95.81,195.0,195.00,0.00,0.00,28.66,30.37,74.57,455.25,456.57,457.16,458.17,460.65,463.31,468.21,474.28,479.31,480.48,477.07,474.85,470.35,467.83,,2025-04-05 19:32:24,170,Exp003_R150_#2674_21963,19.27,15743,71.0,22.12,237464,22.957,37.81,309684,13.428,Stream 2 - R150
