RelativeTime,H2 Node,H2 Set-Point,H2 Actual Flow,N2 Node,N2 Set-Point,N2 Actual Flow,T Reactor (sliding TC),T Heater 1,SP Heater 1,,,Pressure setpoint,N2 poisoning set-point,N2 poisoning Actual flow,H2 Uncontrolled flow,N2 Uncontrolled flow,Inlet calc. flowrate,Outlet meas.flowrate,Pressure reading,T14,T13,T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,,Date,Stage,File,RT (sec),Area,H2,RT (sec)       _1,Area           _2,N2,RT (sec)       _3,Area           _4,NH3,Sample name
193.42,6.00,900.00,899.91,4.00,300.00,299.99,990.00,480.03,480.00,480.03,480.0,89.92,0.0,0.00,0.00,0.00,27.30,29.40,71.55,483.95,485.80,486.29,488.11,490.51,493.99,498.09,504.35,509.41,507.06,502.42,500.20,496.77,494.48,,2025-02-07 02:00:55,4,Exp003_R150_#2674_648,19.4,7924,50.0,26.05,255680,24.718,37.94,285930,12.398,Stream 2 - R150
499.04,6.00,900.00,900.05,4.00,300.00,299.99,990.00,480.0,480.00,480.0,480.0,89.92,0.0,0.00,0.00,0.00,27.30,29.39,71.55,484.08,485.96,486.48,488.24,490.68,494.16,498.14,504.43,509.50,507.20,502.58,500.40,496.95,494.59,,2025-02-07 02:06:00,4,Exp003_R150_#2674_649,19.45,9602,56.0,26.05,255622,24.713,37.94,285104,12.362,Stream 2 - R150
801.41,6.00,900.00,900.01,4.00,300.00,300.0,990.00,480.0,480.00,480.0,480.0,89.93,0.0,0.00,0.00,0.00,27.30,29.38,71.55,484.20,486.00,486.48,488.27,490.76,494.21,498.15,504.44,509.50,507.23,502.61,500.47,496.92,494.58,,2025-02-07 02:11:03,4,Exp003_R150_#2674_651,19.45,9599,56.0,26.05,255651,24.715,37.94,284416,12.332,Stream 2 - R150
1105.44,6.00,900.00,900.0,4.00,300.00,300.0,990.00,480.0,480.00,480.0,480.0,89.92,0.0,0.00,0.00,0.00,27.30,29.48,71.53,484.18,486.00,486.52,488.34,490.80,494.28,498.20,504.42,509.57,507.23,502.64,500.44,496.88,494.52,,2025-02-07 02:16:07,4,Exp003_R150_#2674_653,19.4,7819,50.0,26.04,255684,24.719,37.93,284506,12.336,Stream 2 - R150
1409.44,6.00,900.00,900.02,4.00,300.00,299.99,990.00,480.0,480.00,480.0,480.0,89.92,0.0,0.00,0.00,0.00,27.30,29.37,71.53,484.21,486.07,486.52,488.30,490.75,494.25,498.14,504.40,509.52,507.17,502.59,500.44,496.90,494.59,,2025-02-07 02:21:11,4,Exp003_R150_#2674_655,19.4,7806,50.0,26.03,255817,24.731,37.93,283867,12.308,Stream 2 - R150
1715.12,6.00,900.00,900.02,4.00,300.00,300.0,990.00,480.0,480.00,480.0,480.0,89.91,0.0,0.00,0.00,0.00,27.30,29.36,71.53,484.22,486.07,486.50,488.32,490.80,494.27,498.20,504.47,509.61,507.25,502.65,500.46,496.96,494.67,,2025-02-07 02:26:17,4,Exp003_R150_#2674_656,19.4,7799,50.0,26.03,255694,24.72,37.93,283684,12.3,Stream 2 - R150
2017.49,6.00,900.00,899.99,4.00,300.00,300.0,990.00,480.0,480.00,480.0,480.0,89.91,0.0,0.00,0.00,0.00,27.30,29.35,71.52,484.29,486.09,486.63,488.40,490.83,494.29,498.23,504.52,509.59,507.28,502.64,500.44,496.97,494.66,,2025-02-07 02:31:19,4,Exp003_R150_#2674_658,19.4,7858,50.0,26.03,255792,24.729,37.94,283591,12.296,Stream 2 - R150
2321.48,6.00,900.00,900.07,4.00,300.00,300.0,990.00,480.0,480.00,480.0,480.0,89.91,0.0,0.00,0.00,0.00,27.30,29.34,71.52,484.37,486.23,486.64,488.44,490.83,494.32,498.19,504.46,509.72,507.28,502.62,500.44,496.92,494.60,,2025-02-07 02:36:23,4,Exp003_R150_#2674_660,19.4,7807,50.0,26.02,255732,24.723,37.94,283483,12.292,Stream 2 - R150
2625.48,6.00,900.00,900.0,4.00,300.00,299.99,990.00,480.0,480.00,480.0,480.0,89.91,0.0,0.00,0.00,0.00,27.30,29.34,71.51,484.19,486.01,486.53,488.30,490.77,494.19,498.21,504.50,509.54,507.23,502.61,500.44,496.93,494.66,,2025-02-07 02:41:27,4,Exp003_R150_#2674_661,19.4,7815,50.0,26.02,255757,24.726,37.94,283596,12.296,Stream 2 - R150
2931.12,6.00,900.00,899.99,4.00,300.00,300.0,990.00,480.0,480.00,480.0,480.0,89.92,0.0,0.00,0.00,0.00,27.30,29.33,71.51,484.22,486.08,486.55,488.34,490.84,494.32,498.29,504.55,509.54,507.21,502.62,500.45,496.94,494.61,,2025-02-07 02:46:33,4,Exp003_R150_#2674_663,19.4,7810,50.0,26.01,255868,24.736,37.94,283376,12.287,Stream 2 - R150
