RelativeTime,H2 Node,H2 Set-Point,H2 Actual Flow,N2 Node,N2 Set-Point,N2 Actual Flow,T Reactor (sliding TC),T Heater 1,SP Heater 1,,,Pressure setpoint,N2 poisoning set-point,N2 poisoning Actual flow,H2 Uncontrolled flow,N2 Uncontrolled flow,Inlet calc. flowrate,Outlet meas.flowrate,Pressure reading,T14,T13,T12,T11,T10,T9,T8,T7,T6,T5,T4,T3,T2,T1,,Date,Stage,File,RT (sec),Area,H2,RT (sec)       _1,Area           _2,N2,RT (sec)       _3,Area           _4,NH3,Sample name
219.05,6.00,945.00,945.03,4.00,243.30,245.87,990.00,250.0,250.00,250.0,250.0,98.29,71.7,69.17,0.00,0.00,28.67,29.93,76.99,249.39,249.83,250.92,251.27,251.10,251.80,251.10,251.39,250.99,252.13,252.63,253.33,251.66,252.61,,2025-03-31 09:29:54,151,Exp003_R150_#2674_19430,18.4,22103.0,82.0,22.29,218907.0,21.163,38.54,1343.0,0.058,Stream 2 - R150
521.45,6.00,945.00,945.03,4.00,243.30,243.3,990.00,250.0,250.00,250.0,250.0,98.29,71.7,71.70,0.00,0.00,28.66,28.46,77.00,249.46,249.95,250.90,251.33,251.10,251.76,251.06,251.31,250.99,252.13,252.70,253.43,251.79,252.61,,2025-03-31 09:34:56,151,Exp003_R150_#2674_19431,18.4,20958.0,80.0,22.28,239478.0,23.152,38.54,1284.0,0.056,Stream 2 - R150
825.45,6.00,945.00,944.99,4.00,243.30,243.3,990.00,250.01,250.00,250.01,250.0,98.3,71.7,71.69,0.00,0.00,28.66,30.44,77.00,249.42,249.99,250.90,251.34,251.06,251.74,251.18,251.49,250.90,252.19,252.72,253.44,251.81,252.65,,2025-03-31 09:40:00,151,Exp003_R150_#2674_19433,18.41,19950.0,79.0,22.28,253561.0,24.513,38.55,1355.0,0.059,Stream 2 - R150
1129.44,6.00,945.00,944.99,4.00,243.30,243.3,990.00,250.0,250.00,250.0,250.0,98.31,71.7,71.70,0.00,0.00,28.66,30.65,77.01,249.64,250.25,250.87,251.41,251.17,251.80,251.18,251.58,250.95,252.27,252.65,253.47,251.77,252.59,,2025-03-31 09:45:04,151,Exp003_R150_#2674_19435,18.43,19289.0,78.0,22.29,255428.0,24.694,38.54,1326.0,0.058,Stream 2 - R150
1435.07,6.00,945.00,944.97,4.00,243.30,243.29,990.00,250.0,250.00,250.0,250.0,98.33,71.7,71.70,0.00,0.00,28.66,30.63,77.02,249.74,250.31,250.89,251.46,251.21,252.01,251.29,251.70,251.00,252.30,252.56,253.44,251.79,252.66,,2025-03-31 09:50:10,151,Exp003_R150_#2674_19436,0.0,0.0,0.0,22.29,254773.0,24.631,38.55,1299.0,0.056,Stream 2 - R150
1737.44,6.00,945.00,944.98,4.00,243.30,243.29,990.00,250.0,250.00,250.0,250.0,98.36,71.7,71.70,0.00,0.00,28.66,30.60,77.04,249.92,250.52,250.91,251.44,251.15,251.97,251.19,251.62,251.16,252.42,252.47,253.38,251.66,252.55,,2025-03-31 09:55:12,151,Exp003_R150_#2674_19438,18.41,19771.0,79.0,22.28,254963.0,24.649,38.54,1240.0,0.054,Stream 2 - R150
2041.42,6.00,945.00,945.01,4.00,243.30,243.3,990.00,250.0,250.00,250.0,250.0,98.4,71.7,71.70,0.00,0.00,28.66,30.57,77.07,249.89,250.51,250.85,251.44,251.18,251.97,251.34,251.77,250.96,252.39,252.53,253.43,251.73,252.64,,2025-03-31 10:00:16,151,Exp003_R150_#2674_19440,18.43,19278.0,78.0,22.29,254662.0,24.62,38.58,1178.0,0.051,Stream 2 - R150
2345.42,6.00,945.00,944.95,4.00,243.30,243.3,990.00,250.0,250.00,250.0,250.0,98.44,71.7,71.70,0.00,0.00,28.66,30.59,77.09,249.90,250.49,250.87,251.44,251.18,251.92,251.29,251.70,251.13,252.43,252.54,253.42,251.70,252.58,,2025-03-31 10:05:20,151,Exp003_R150_#2674_19441,18.42,19137.0,78.0,22.28,255111.0,24.663,38.59,1146.0,0.05,Stream 2 - R150
2651.1,6.00,945.00,945.03,4.00,243.30,243.29,990.00,250.0,250.00,250.0,250.0,98.48,71.7,71.70,0.00,0.00,28.66,30.61,77.12,249.97,250.58,250.93,251.48,251.11,251.86,251.29,251.71,251.14,252.40,252.43,253.29,251.64,252.55,,2025-03-31 10:10:26,151,Exp003_R150_#2674_19443,18.43,19268.0,78.0,22.3,254652.0,24.619,38.59,1084.0,0.047,Stream 2 - R150
2953.47,6.00,945.00,944.98,4.00,243.30,243.3,990.00,250.0,250.00,250.0,250.0,98.5,71.7,71.70,0.00,0.00,28.66,30.63,77.14,250.00,250.61,250.89,251.39,251.22,251.99,251.33,251.72,251.17,252.41,252.46,253.33,251.66,252.57,,2025-03-31 10:15:28,151,Exp003_R150_#2674_19445,18.42,19089.0,77.0,22.29,254582.0,24.612,38.58,1042.0,0.045,Stream 2 - R150
3257.49,6.00,945.00,944.98,4.00,243.30,243.28,990.00,250.0,250.00,250.0,250.0,98.54,71.7,71.70,0.00,0.00,28.66,30.62,77.16,249.89,250.53,250.85,251.36,251.22,251.95,251.36,251.71,251.11,252.35,252.49,253.42,251.73,252.67,,2025-03-31 10:20:33,151,Exp003_R150_#2674_19446,18.42,19273.0,78.0,22.29,254583.0,24.612,38.61,1013.0,0.044,Stream 2 - R150
3561.48,6.00,945.00,945.0,4.00,243.30,243.29,990.00,250.0,250.00,250.0,250.0,98.58,71.7,71.70,0.00,0.00,28.66,30.67,77.18,249.97,250.57,250.87,251.39,251.21,251.96,251.22,251.63,251.07,252.31,252.40,253.31,251.63,252.60,,2025-03-31 10:25:37,151,Exp003_R150_#2674_19448,19.28,19690.0,78.0,22.29,254419.0,24.596,38.62,963.0,0.042,Stream 2 - R150
3867.27,6.00,945.00,945.03,4.00,243.30,243.3,990.00,250.0,250.00,250.0,250.0,98.6,71.7,71.70,0.00,0.00,28.66,30.63,77.20,249.86,250.48,250.85,251.40,251.19,251.95,251.25,251.63,251.20,252.33,252.45,253.42,251.72,252.68,,2025-03-31 10:30:42,151,Exp003_R150_#2674_19450,18.42,18973.0,77.0,22.3,254293.0,24.584,38.63,934.0,0.04,Stream 2 - R150
